rho,seed,L_r1,L_r3a,L_c_analytic
0.55,1,0.6173902978815629,0.36004234108322003,0.21848493009710823
0.55,2,0.6118790902562242,0.3544237873481073,0.21848493009710823
0.55,3,0.6109213527773865,0.35547259921938296,0.21848493009710823
0.55,4,0.6145976088192672,0.3619719401223493,0.21848493009710823
0.55,5,0.6107470160356827,0.3583851212259761,0.21848493009710823
0.55,6,0.6192673346759489,0.3546738797593866,0.21848493009710823
0.55,7,0.6114859419783777,0.3536006741277435,0.21848493009710823
0.55,8,0.6113621607634143,0.3614151242427764,0.21848493009710823
0.55,9,0.6055949287760656,0.35498897510310007,0.21848493009710823
0.55,10,0.6194818163048397,0.36255463689953177,0.21848493009710823
0.55,11,0.6094084487756101,0.3603092806703394,0.21848493009710823
0.55,12,0.603875104750039,0.3629134975411759,0.21848493009710823
0.55,13,0.5899047275214601,0.36125395181091724,0.21848493009710823
0.55,14,0.6121197458499825,0.36265790673101683,0.21848493009710823
0.55,15,0.5972241400688363,0.3568899043650299,0.21848493009710823
0.55,16,0.606837844950268,0.35590635890265354,0.21848493009710823
0.55,17,0.615823067408152,0.35527150807560054,0.21848493009710823
0.55,18,0.6207432963346011,0.3634519911523516,0.21848493009710823
0.55,19,0.6002625601881655,0.3556408911896585,0.21848493009710823
0.55,20,0.61936649489443,0.3600114319782378,0.21848493009710823
0.55,21,0.6139117224436338,0.35964785374761377,0.21848493009710823
0.55,22,0.600146447507081,0.3553801722321799,0.21848493009710823
0.55,23,0.5887975321306835,0.36331524917465957,0.21848493009710823
0.55,24,0.6041030143202388,0.3584564212290501,0.21848493009710823
0.55,25,0.5819703769743453,0.35430154344399434,0.21848493009710823
0.55,26,0.6123197949497262,0.3599413801827192,0.21848493009710823
0.55,27,0.6043903089267123,0.3515583756945708,0.21848493009710823
0.55,28,0.5996134087228631,0.3623759819561083,0.21848493009710823
0.55,29,0.6159140737491355,0.36106161412073196,0.21848493009710823
0.55,30,0.6173814818020736,0.3629606599804726,0.21848493009710823
0.6,1,0.745151273692911,0.4163119333728596,0.3542263983079311
0.6,2,0.7578313229294367,0.41692980391661366,0.3542263983079311
0.6,3,0.7653542757579169,0.4174134703232764,0.3542263983079311
0.6,4,0.773771957834399,0.4150054878455049,0.3542263983079311
0.6,5,0.7560014574667264,0.41989754289693504,0.3542263983079311
0.6,6,0.7655818876154157,0.41460567400560056,0.3542263983079311
0.6,7,0.7643809361279774,0.41650243868801534,0.3542263983079311
0.6,8,0.7820304888652369,0.41636722449144337,0.3542263983079311
0.6,9,0.7600731133229105,0.4217882199772795,0.3542263983079311
0.6,10,0.7812546526865043,0.4204165535534307,0.3542263983079311
0.6,11,0.777115972590751,0.4159382120857855,0.3542263983079311
0.6,12,0.7792141216933425,0.41525427462909975,0.3542263983079311
0.6,13,0.7843964216928546,0.41700117297086103,0.3542263983079311
0.6,14,0.77329410950694,0.41181524857629376,0.3542263983079311
0.6,15,0.7580162246354263,0.4111887205764524,0.3542263983079311
0.6,16,0.7607284879573246,0.4126320165653146,0.3542263983079311
0.6,17,0.7659156868333665,0.42205109378076233,0.3542263983079311
0.6,18,0.7719445386883669,0.4185656606955351,0.3542263983079311
0.6,19,0.7874458404124638,0.4151784802817532,0.3542263983079311
0.6,20,0.7740896087198563,0.41588056035997284,0.3542263983079311
0.6,21,0.7748312527329315,0.41684036765906285,0.3542263983079311
0.6,22,0.7755156936681806,0.42229169650766074,0.3542263983079311
0.6,23,0.7729211297332269,0.42078131062398133,0.3542263983079311
0.6,24,0.762221737077265,0.4166861687612015,0.3542263983079311
0.6,25,0.7566289077768154,0.4196836932295594,0.3542263983079311
0.6,26,0.770465768729475,0.41345958127666,0.3542263983079311
0.6,27,0.7698619037041842,0.41738819953365625,0.3542263983079311
0.6,28,0.7578267016550009,0.41137608454750696,0.3542263983079311
0.6,29,0.7649118335619423,0.41408222026696767,0.3542263983079311
0.6,30,0.7633621503176089,0.4110707083840367,0.3542263983079311
0.65,1,0.9578928188891211,0.48741451148822723,0.5618667512811468
0.65,2,0.9626811693206196,0.49838988658523925,0.5618667512811468
0.65,3,0.9376436533999153,0.4827553190440246,0.5618667512811468
0.65,4,0.9508371077462693,0.4962201868531964,0.5618667512811468
0.65,5,0.957090841556464,0.4890639701099969,0.5618667512811468
0.65,6,0.9419056911801583,0.48738439492027047,0.5618667512811468
0.65,7,0.9589571110694719,0.4854317449634687,0.5618667512811468
0.65,8,0.9657930737446346,0.4872320393121651,0.5618667512811468
0.65,9,0.981966714362304,0.4856061919418104,0.5618667512811468
0.65,10,0.9548504975317244,0.48848058127903904,0.5618667512811468
0.65,11,0.9583034198780596,0.4933048559085318,0.5618667512811468
0.65,12,0.9355176722238102,0.48064726504382893,0.5618667512811468
0.65,13,0.9473102285951132,0.48511883553332363,0.5618667512811468
0.65,14,0.9508926783737724,0.4842934606887573,0.5618667512811468
0.65,15,0.945920419668132,0.48823904419344355,0.5618667512811468
0.65,16,0.9577073362756556,0.4865206678533621,0.5618667512811468
0.65,17,0.954132070470316,0.4877570947261904,0.5618667512811468
0.65,18,0.9511751385921137,0.49636763493237324,0.5618667512811468
0.65,19,0.9227675643374826,0.4973860299180222,0.5618667512811468
0.65,20,0.9718480747425484,0.4885057878866218,0.5618667512811468
