n,m,rho,seed,L_r1,L_r3a,L_c_analytic
4,6,0.55,1,0.5616220613767429,0.35213750557886575,0.277181036156087
4,6,0.55,2,0.564506681855928,0.3529798401350979,0.277181036156087
4,6,0.55,3,0.5740158675800182,0.35834427221866477,0.277181036156087
4,6,0.55,4,0.5632977920438076,0.36023525533091777,0.277181036156087
4,6,0.55,5,0.5629469935266778,0.3513533781232784,0.277181036156087
4,6,0.55,6,0.5678462362577343,0.35737598629295464,0.277181036156087
4,6,0.55,7,0.5588679287259688,0.36006495239807496,0.277181036156087
4,6,0.55,8,0.5679937671521489,0.3583769132270723,0.277181036156087
4,6,0.55,9,0.5741630833159482,0.36243320946165786,0.277181036156087
4,6,0.55,10,0.5722807075422701,0.35561666627509103,0.277181036156087
4,6,0.55,11,0.5827654000598432,0.35647872406231684,0.277181036156087
4,6,0.55,12,0.5653789982823112,0.3506375021280133,0.277181036156087
4,6,0.55,13,0.573772216760403,0.3524535144837734,0.277181036156087
4,6,0.55,14,0.5786084859722206,0.36145982311269914,0.277181036156087
4,6,0.55,15,0.5602118727065217,0.3519591034272955,0.277181036156087
4,6,0.55,16,0.5672784934706476,0.36247463786291784,0.277181036156087
4,6,0.55,17,0.5603277655978689,0.3590026129354178,0.277181036156087
4,6,0.55,18,0.5841278794131759,0.3624819532031084,0.277181036156087
4,6,0.55,19,0.5754113788127199,0.35328655974065176,0.277181036156087
4,6,0.55,20,0.5564541007717378,0.35742497451259003,0.277181036156087
4,6,0.55,21,0.5811431593306268,0.3651539964160222,0.277181036156087
4,6,0.55,22,0.5694412391978916,0.3584419695101273,0.277181036156087
4,6,0.55,23,0.5625159688322126,0.362866712205028,0.277181036156087
4,6,0.55,24,0.5629322962298126,0.36004890666801376,0.277181036156087
4,6,0.55,25,0.567098457197524,0.36545288056254255,0.277181036156087
4,6,0.55,26,0.5634105491120687,0.3604707418095537,0.277181036156087
4,6,0.55,27,0.5580712927651728,0.35244519038041544,0.277181036156087
4,6,0.55,28,0.5683799217908205,0.35800571349619104,0.277181036156087
4,6,0.55,29,0.5679086880515055,0.35591516272632917,0.277181036156087
4,6,0.55,30,0.5675626981307812,0.3536579401285451,0.277181036156087
4,6,0.6,1,0.707843230553921,0.4241218785797309,0.4304258152047016
4,6,0.6,2,0.7012389432241792,0.43593045202106767,0.4304258152047016
4,6,0.6,3,0.7106528889686914,0.4232711894456614,0.4304258152047016
4,6,0.6,4,0.7228115554555433,0.4273499342243378,0.4304258152047016
4,6,0.6,5,0.7082896076705054,0.42123396119672746,0.4304258152047016
4,6,0.6,6,0.7094039387149412,0.4311036954974366,0.4304258152047016
4,6,0.6,7,0.712559293186407,0.42847549201331986,0.4304258152047016
4,6,0.6,8,0.7056391780608092,0.4276681842636293,0.4304258152047016
4,6,0.6,9,0.7197231753971227,0.42943281907389724,0.4304258152047016
4,6,0.6,10,0.7234282678943791,0.4233382273900699,0.4304258152047016
4,6,0.6,11,0.7152304121152587,0.42145154477673963,0.4304258152047016
4,6,0.6,12,0.693958154607546,0.42029249000986446,0.4304258152047016
4,6,0.6,13,0.7113062152235263,0.4204746989687266,0.4304258152047016
4,6,0.6,14,0.7122943462342509,0.41672943841203247,0.4304258152047016
4,6,0.6,15,0.7120793152511433,0.4177053398293341,0.4304258152047016
4,6,0.6,16,0.7048429044584628,0.42237953384834254,0.4304258152047016
4,6,0.6,17,0.7268413079662001,0.4311906147760892,0.4304258152047016
4,6,0.6,18,0.7282446468133913,0.4277191553390136,0.4304258152047016
4,6,0.6,19,0.7174895202690351,0.4183867283868602,0.4304258152047016
4,6,0.6,20,0.7042022147747864,0.4311513910384234,0.4304258152047016
4,6,0.6,21,0.7065800334053636,0.4293172536547813,0.4304258152047016
4,6,0.6,22,0.6994784418361095,0.42431828231577634,0.4304258152047016
4,6,0.6,23,0.7257500160744441,0.42087491092122775,0.4304258152047016
4,6,0.6,24,0.7207733767548917,0.42293377557381134,0.4304258152047016
4,6,0.6,25,0.7117579736650196,0.4197803887454062,0.4304258152047016
4,6,0.6,26,0.7173924648266916,0.4260136364034967,0.4304258152047016
4,6,0.6,27,0.7031576842741991,0.42383061211319906,0.4304258152047016
4,6,0.6,28,0.7082489422131376,0.42377150396389834,0.4304258152047016
