rate,seed,full_energy,adapt_energy,full_safety_violations,adapt_safety_violations
0.6,1,9015.816357279982,9453.24973941297,0,0
0.6,2,9465.035622178657,9915.452487129605,0,0
0.6,3,9315.48569964127,10296.43716360127,0,0
0.6,4,9397.443917271848,10264.68344645399,0,0
0.6,5,8869.316108461064,9552.513697687342,0,0
0.6,6,9842.261550008454,10210.442369477223,0,0
0.6,7,8512.54518508208,9294.306119232091,0,0
0.6,8,8861.978473985877,10020.78798525205,0,0
0.6,9,8913.125279646792,9882.729365075951,0,0
0.6,10,9496.736071694892,10016.190571609943,0,0
0.6,11,9338.878393245634,9956.712615621853,0,0
0.6,12,8760.066568357312,9532.082598434952,0,0
0.6,13,9131.657269082913,10188.992427076144,0,0
0.6,14,9174.815958270541,10329.450194862196,0,0
0.6,15,9022.305227791558,9586.902846628383,0,0
0.6,16,9053.101385789701,9765.958723285321,0,0
0.6,17,9280.902012265702,10404.387106990795,0,0
0.6,18,9252.751054118286,9772.533226936586,0,0
0.6,19,9214.629644050465,9710.162587257699,0,0
0.6,20,9115.303091613021,9673.398650680725,0,0
0.6,21,9194.643684863968,9802.917429738447,0,0
0.6,22,8877.724859257705,10057.251442187946,0,0
0.6,23,8757.93543962467,9512.630345896165,0,0
0.6,24,9178.030239530566,9741.501961427559,0,0
0.6,25,8754.497719614576,9474.511945872635,0,0
0.6,26,9043.91533556762,9707.759005243333,0,0
0.6,27,9137.525455391777,9841.558697391434,0,0
0.6,28,8618.457096985481,9023.58322824166,0,0
0.6,29,9662.16950722961,10747.626347221463,0,0
0.6,30,8872.740709418971,8949.782532019924,0,0
1.2,1,18098.245241829198,20182.780657027542,0,0
1.2,2,18876.399124268533,20839.825216646743,0,0
1.2,3,18567.260772343157,20559.015231873498,0,0
1.2,4,19049.204854185915,20885.998026413938,0,0
1.2,5,18310.18991298528,20598.274733678973,0,0
1.2,6,19635.99414028874,22149.531731854247,0,0
1.2,7,17934.754654291213,20431.689888290653,0,0
1.2,8,17514.387579997965,19678.267686712126,0,0
1.2,9,18387.583472991144,20240.785853703834,0,0
1.2,10,18337.86096704208,20430.96678474542,0,0
1.2,11,18022.09298350677,20404.228670614462,0,0
1.2,12,18804.96451747256,20231.91092967474,0,0
1.2,13,18450.594848461176,20259.621829981053,0,0
1.2,14,18050.51829986486,20038.629894945185,0,0
1.2,15,18392.323097861306,20409.578638455514,0,0
1.2,16,17860.02897160103,20162.242819824693,0,0
1.2,17,19167.975914863746,21406.9434784631,0,0
1.2,18,19650.198878844076,21298.876603181216,0,0
1.2,19,18732.11958726417,20542.412705384868,0,0
1.2,20,18547.172565101097,20354.371923706487,0,0
1.2,21,17829.08718416436,19789.297807810115,0,0
1.2,22,19063.861615017777,21130.80253293478,0,0
1.2,23,18152.711475394324,19913.168130782436,0,0
1.2,24,18684.52432874904,20607.84637467296,0,0
1.2,25,18682.39284650414,20369.267719079857,0,0
1.2,26,18687.122066942655,20156.273759150812,0,0
1.2,27,18087.940594260534,19901.193578749153,0,0
1.2,28,18428.238887546046,20221.195932397863,0,0
1.2,29,19470.675709386367,21298.074675398955,0,0
1.2,30,17317.4788132117,19210.169751379577,0,0
