n_drones,pads,seed,milp_status,milp_obj,heur_obj,gap
6,"[1, 1]",101,Optimal,11.0,11,0.0
6,"[1, 1]",102,Optimal,11.0,11,0.0
6,"[1, 1]",103,Optimal,10.0,10,0.0
6,"[1, 1]",104,Optimal,10.0,10,0.0
6,"[1, 1]",105,Optimal,10.0,10,0.0
8,"[2, 1]",101,Optimal,14.0,14,0.0
8,"[2, 1]",102,Optimal,14.0,14,0.0
8,"[2, 1]",103,Optimal,14.0,14,0.0
8,"[2, 1]",104,Optimal,14.0,14,0.0
8,"[2, 1]",105,Optimal,13.0,13,0.0
10,"[1, 1, 1]",101,Optimal,18.0,18,0.0
10,"[1, 1, 1]",102,Optimal,17.0,17,0.0
10,"[1, 1, 1]",103,Optimal,17.0,17,0.0
10,"[1, 1, 1]",104,Optimal,16.0,16,0.0
10,"[1, 1, 1]",105,Optimal,18.0,18,0.0
