n_uavs,n_stations,seed,full_energy,adapt_energy,full_completed,adapt_completed,full_safety_violations,adapt_safety_violations,full_runtime_s,adapt_runtime_s
5,2,1,2014.3410078106024,1386.1127375437145,208,154,0,0,0.034946441650390625,0.2058408260345459
5,2,2,2064.9973207366793,1445.8914656577504,206,151,0,0,0.036695241928100586,0.1847841739654541
5,2,3,2055.737427021732,1419.3738248999364,210,149,0,0,0.039077043533325195,0.22467398643493652
5,2,4,1791.4677844532462,1398.2813870930947,199,151,0,0,0.03206443786621094,0.16237711906433105
5,2,5,1992.44568468679,1519.3251200568216,203,157,0,0,0.03424239158630371,0.12942194938659668
5,2,6,2252.7544392361756,1594.0258406106243,225,164,0,0,0.036947011947631836,0.21685409545898438
5,2,7,1717.8189036717372,1399.3034401326236,197,156,0,0,0.03378129005432129,0.1396024227142334
5,2,8,1917.9870159751042,1431.2218172512673,197,153,0,0,0.03381538391113281,0.17737722396850586
5,2,9,1839.7933140228547,1381.8917811617432,189,147,0,0,0.03466057777404785,0.1368856430053711
5,2,10,2036.3594117629968,1628.6778149968063,222,159,0,0,0.07340550422668457,0.3941493034362793
5,2,11,1828.954006798407,1454.9070011168465,191,151,0,0,0.0624079704284668,0.24748706817626953
5,2,12,1715.739234016383,1239.9333720231452,167,139,0,0,0.0536198616027832,0.15382719039916992
5,2,13,1617.5656908851736,1411.7704482787653,180,159,0,0,0.05904650688171387,0.14334917068481445
5,2,14,1969.3149893839043,1460.8321260203795,208,152,0,0,0.06938862800598145,0.34147071838378906
5,2,15,1627.5718190723335,1473.2683882807517,195,150,0,0,0.06292843818664551,0.2945091724395752
5,2,16,1684.2360662140145,1333.8962031952628,183,146,0,0,0.05960893630981445,0.19278168678283691
5,2,17,2049.6648862496054,1624.5619669174334,200,159,0,0,0.058371543884277344,0.24905705451965332
5,2,18,1945.527087559042,1374.1191900285808,204,146,0,0,0.06368637084960938,0.2950770854949951
5,2,19,1764.7516269075186,1304.5370611864746,188,147,0,0,0.05996298789978027,0.23916196823120117
5,2,20,1853.3034991226782,1471.0079721445031,194,156,0,0,0.059130191802978516,0.2778928279876709
5,2,21,2103.61263801707,1731.2005915311981,231,174,0,0,0.08267784118652344,0.3329336643218994
5,2,22,1920.7266369766537,1517.853256983563,209,158,0,0,0.06315279006958008,0.37648963928222656
5,2,23,1838.1264045744936,1396.9471988319467,189,146,0,0,0.06044745445251465,0.22087311744689941
5,2,24,1748.253091513095,1379.235668394529,191,156,0,0,0.05816245079040527,0.22208380699157715
5,2,25,1691.6773072707542,1219.0988596445375,188,140,0,0,0.06289958953857422,0.23206043243408203
5,2,26,1913.148954120946,1418.4769014721692,193,153,0,0,0.057587623596191406,0.23633909225463867
5,2,27,2004.5651344780006,1344.2243971551138,195,133,0,0,0.06607437133789062,0.33232641220092773
5,2,28,1630.4831870052392,1277.1022382324006,173,138,0,0,0.06107926368713379,0.17685413360595703
5,2,29,2242.331969015904,2056.124342468998,239,192,0,0,0.06767868995666504,0.29462194442749023
5,2,30,2115.745215278592,1676.2543962916825,217,164,0,0,0.06327319145202637,0.3200876712799072
10,2,1,3477.8113427038065,2543.1806450945564,344,282,0,0,0.20052480697631836,0.9035398960113525
10,2,2,4107.122932239832,3238.9203282936223,410,323,0,0,0.23259425163269043,1.032738208770752
10,2,3,3768.3862733990727,3082.715820361276,406,322,0,0,0.20482921600341797,0.9871790409088135
10,2,4,3993.6256719810467,3049.760256089701,396,327,0,0,0.2319650650024414,0.8995704650878906
10,2,5,3943.9230259216115,3244.894056672174,399,336,0,0,0.22029423713684082,0.6301755905151367
10,2,6,4028.5607465540324,3254.994586604242,434,350,0,0,0.21880412101745605,0.9996480941772461
10,2,7,3383.4036752227157,2844.8190974263316,374,298,0,0,0.20526933670043945,0.8060853481292725
10,2,8,3814.154910393102,3046.340261802469,391,329,0,0,0.23015379905700684,0.7260527610778809
10,2,9,3876.5922635375287,3041.4443297512557,396,330,0,0,0.2172708511352539,0.7154760360717773
10,2,10,3867.6992666022484,3108.02930010062,418,341,0,0,0.2169175148010254,1.007779836654663
10,2,11,4041.6213566307692,3230.72180602742,412,338,0,0,0.24055862426757812,0.7807714939117432
10,2,12,3719.100423750765,3011.9866021508587,360,303,0,0,0.20197272300720215,0.6138098239898682
10,2,13,3598.482472842041,2780.464080921231,370,307,0,0,0.21670246124267578,0.6756513118743896
10,2,14,4011.978880161018,3056.4047330271806,398,308,0,0,0.22754979133605957,1.1333248615264893
10,2,15,3688.717339501707,2951.612736120858,385,309,0,0,0.2242109775543213,0.8968350887298584
10,2,16,3727.900612442957,2607.7800296604323,395,306,0,0,0.22706222534179688,0.9345030784606934
10,2,17,3726.202914392276,3156.6616100200927,406,332,0,0,0.21345901489257812,0.7878799438476562
10,2,18,4199.070834770763,2980.2958624832736,425,325,0,0,0.22306394577026367,1.1879572868347168
10,2,19,3827.382871847748,3049.011214458444,392,328,0,0,0.22736501693725586,0.7211341857910156
10,2,20,3696.9101118208064,3024.483722601455,392,321,0,0,0.2280409336090088,0.6847329139709473
10,2,21,3969.6870383375895,2926.7708076448357,408,324,0,0,0.21377062797546387,0.9297502040863037
10,2,22,3808.7034572237026,3080.7075449880676,400,332,0,0,0.2205195426940918,0.8299674987792969
10,2,23,3695.888009946865,3065.326055514078,393,320,0,0,0.2182173728942871,0.9032983779907227
10,2,24,3399.4459006794036,2673.523411376683,374,308,0,0,0.2253561019897461,0.6649589538574219
10,2,25,3874.2213226737995,3143.2343270345477,412,318,0,0,0.20314311981201172,1.0777637958526611
10,2,26,3673.4356092203097,3008.966168015057,382,315,0,0,0.19749712944030762,0.7505629062652588
10,2,27,3964.760100174205,3164.8643968141596,406,316,0,0,0.1917417049407959,1.046173095703125
10,2,28,3602.171128396329,3053.6854323250327,365,314,0,0,0.2057173252105713,0.601186990737915
10,2,29,4295.593018764172,3591.0459010828076,449,364,0,0,0.2172563076019287,1.048586368560791
10,2,30,3562.2834175015287,2803.9394015895864,367,300,0,0,0.21030163764953613,0.70054030418396
20,5,1,7696.430965816935,8157.926955424665,785,784,0,0,0.9261870384216309,1.023371696472168
20,5,2,7996.684694535291,8762.521125317424,807,809,0,0,0.8533546924591064,0.9524283409118652
20,5,3,7967.29589842706,8585.123235701716,808,808,0,0,0.8452434539794922,1.0071656703948975
20,5,4,8192.570508950688,8553.834009890346,821,822,0,0,0.792487382888794,1.0061891078948975
20,5,5,7760.564298598776,7847.693344875331,760,760,0,0,0.8189988136291504,0.9087543487548828
20,5,6,8412.895433112439,8697.278474632038,859,859,0,0,0.880911111831665,1.0558409690856934
20,5,7,7209.332848516656,7451.433987873959,728,728,0,0,0.7737915515899658,0.9199063777923584
20,5,8,7463.930108872734,8142.998060461735,777,777,0,0,0.8745601177215576,0.9218621253967285
20,5,9,8054.078057122645,8214.873887630487,791,792,0,0,0.8268544673919678,1.017381191253662
20,5,10,7976.503415865461,8844.567501701526,838,839,0,0,0.87093186378479,1.0699224472045898
20,5,11,7892.8988128236515,8253.578081596317,795,794,0,0,0.8439116477966309,0.9961202144622803
20,5,12,7278.410459462778,7727.2549282330065,745,745,0,0,0.7968785762786865,0.9241743087768555
20,5,13,7711.939841053388,8396.57774600493,800,801,0,0,0.8429243564605713,1.0058307647705078
20,5,14,8335.769145459937,8681.287453802048,826,825,0,0,0.82973313331604,0.9740583896636963
20,5,15,7848.003261240926,8454.791006334648,787,787,0,0,0.8451676368713379,0.9501237869262695
20,5,16,7445.90412274567,7822.506597358185,773,774,0,0,0.8079113960266113,0.9492673873901367
20,5,17,8653.207440235505,9054.242586087765,849,849,0,0,0.8367102146148682,1.0180637836456299
20,5,18,7988.741960260389,8328.475456336851,810,811,0,0,0.8133172988891602,1.0676696300506592
20,5,19,7821.744605445715,8236.867226601064,766,766,0,0,0.7956218719482422,0.9518749713897705
20,5,20,8144.525099299511,8209.35562372248,811,811,0,0,0.7229321002960205,0.9883291721343994
20,5,21,8243.129825881415,8627.244611152148,820,820,0,0,0.7839021682739258,0.9889731407165527
20,5,22,7643.940823577077,8124.935445309935,778,778,0,0,0.8737285137176514,0.9307248592376709
20,5,23,7890.056762973135,8187.0994315538055,788,787,0,0,0.8162553310394287,0.981522798538208
20,5,24,7518.339495009718,8325.936697633622,764,764,0,0,0.787733793258667,0.9305031299591064
20,5,25,7820.602588978441,8210.760327194863,780,780,0,0,0.7749111652374268,0.9349408149719238
20,5,26,7958.136625901028,8173.428302178326,777,776,0,0,0.7991759777069092,0.9979214668273926
20,5,27,7811.750049935549,8136.086793577527,786,788,0,0,0.8296957015991211,0.992865800857544
20,5,28,7493.955003861026,8044.02336436766,743,743,0,0,0.784217119216919,0.8963098526000977
20,5,29,8777.153970937006,8996.677516347158,864,864,0,0,0.9171652793884277,1.0027451515197754
20,5,30,8030.657119352291,8202.389797588883,788,788,0,0,0.8307793140411377,1.0041487216949463
40,10,1,15974.895941030847,17206.720147671225,1591,1590,0,0,3.1258413791656494,3.7130885124206543
40,10,2,16515.04294194647,17621.80006802373,1639,1638,0,0,3.0848941802978516,3.795346736907959
40,10,3,16154.840345612265,17215.223272495743,1619,1618,0,0,3.0968570709228516,3.8207151889801025
40,10,4,15737.279667110548,17915.97858822224,1601,1601,0,0,2.753986120223999,3.704932451248169
40,10,5,15828.126418992648,17684.643329884417,1615,1615,0,0,3.1487441062927246,3.772376537322998
40,10,6,16709.265810505553,18312.96958524916,1691,1691,0,0,3.065549850463867,3.813418388366699
40,10,7,15685.538362538982,16743.582894950174,1562,1562,0,0,3.1339304447174072,3.688595771789551
40,10,8,15177.565602303313,16307.747642772409,1538,1540,0,0,3.0214149951934814,3.653900623321533
40,10,9,15775.842428281616,17182.865484898535,1568,1569,0,0,2.9771695137023926,3.6797196865081787
40,10,10,15927.506158086766,17326.7556126664,1591,1591,0,0,3.139385461807251,3.7301435470581055
40,10,11,15772.381809712846,17210.435663029668,1599,1598,0,0,3.196120023727417,3.7544357776641846
40,10,12,16153.236260605789,16517.66466066673,1553,1554,0,0,3.1199803352355957,3.6664681434631348
40,10,13,15832.579982372783,17061.982565872506,1611,1610,0,0,3.105653762817383,3.722879409790039
40,10,14,15902.769957663953,17202.69114304403,1591,1592,0,0,3.031914710998535,3.801344633102417
40,10,15,15534.111953047963,17196.735218520036,1583,1583,0,0,2.99434494972229,3.6985082626342773
40,10,16,15054.048079987739,16811.78310785074,1554,1553,0,0,2.9727585315704346,3.6915783882141113
40,10,17,15987.924010178704,17782.977240701348,1636,1636,0,0,3.0815887451171875,3.848921060562134
40,10,18,16244.950054425995,18150.87103610075,1662,1662,0,0,2.7738099098205566,3.908569812774658
40,10,19,15742.189690782667,17628.358366533164,1603,1602,0,0,3.159597635269165,3.7610154151916504
40,10,20,15871.005696373653,17194.363078005295,1594,1594,0,0,3.2089462280273438,3.7299580574035645
40,10,21,15317.373929650736,16919.812762450158,1550,1550,0,0,2.956470012664795,3.628898859024048
40,10,22,16192.718460357797,17916.23662637321,1624,1623,0,0,3.034461498260498,3.6931350231170654
40,10,23,15432.744290920135,16938.528469873883,1580,1581,0,0,3.074000120162964,3.6958415508270264
40,10,24,16015.671306638811,16765.41990738883,1586,1586,0,0,3.05617356300354,3.771315574645996
40,10,25,16165.444541664518,16873.530756797638,1584,1584,0,0,2.968902587890625,3.768693208694458
40,10,26,16297.723205022863,17410.11104932616,1592,1592,0,0,3.043900966644287,3.7300097942352295
40,10,27,16130.464998271258,17168.60919608277,1580,1578,0,0,2.9918456077575684,3.7120108604431152
40,10,28,15934.083161099787,16799.08293145382,1577,1576,0,0,2.973572015762329,3.7069482803344727
40,10,29,15771.873131178036,17647.27833010657,1657,1656,0,0,2.5549442768096924,3.6812405586242676
40,10,30,14766.626683841756,15823.637120741603,1485,1486,0,0,2.8796887397766113,3.3525755405426025
60,15,1,22351.467866498235,25790.7846354453,2347,2348,0,0,5.74519419670105,7.834547758102417
60,15,2,23804.346893158217,26629.02792043712,2447,2449,0,0,6.195983171463013,8.255154132843018
60,15,3,22699.269643925134,25824.226613025487,2376,2378,0,0,5.866173267364502,8.109537601470947
60,15,4,23853.987537727306,26637.290365554272,2445,2444,0,0,7.020064353942871,8.12284255027771
60,15,5,21908.898954996286,25688.036917171194,2364,2365,0,0,5.58696436882019,7.914859294891357
60,15,6,24404.501169837342,27318.29710355456,2540,2545,0,0,6.016359567642212,8.186784029006958
60,15,7,22315.459066134845,25266.913333667268,2324,2324,0,0,5.630389928817749,7.466559648513794
60,15,8,22337.832402837335,25788.19316898627,2358,2357,0,0,5.778075695037842,8.029026985168457
60,15,9,23673.68684490156,26472.04865507833,2420,2421,0,0,6.614682912826538,8.233091354370117
60,15,10,22365.93847330269,25433.240480539072,2343,2343,0,0,5.840887784957886,8.005936861038208
60,15,11,22600.924073898055,26123.50876628058,2396,2398,0,0,5.296400785446167,8.114836692810059
60,15,12,23374.43444834453,25751.56413211703,2372,2372,0,0,6.363931894302368,8.06725263595581
60,15,13,23617.118238535786,26220.06215080146,2424,2426,0,0,6.583993673324585,8.280543088912964
60,15,14,23339.72668739431,26122.44442874546,2397,2400,0,0,6.5303051471710205,8.169795751571655
60,15,15,22475.575304853817,25752.819657867374,2396,2397,0,0,4.94989538192749,8.257535457611084
60,15,16,22324.940234293852,25320.807152692105,2348,2348,0,0,5.638627529144287,7.92362904548645
60,15,17,23739.410268380918,26635.19659069571,2472,2472,0,0,6.142705678939819,7.925305604934692
60,15,18,23238.94286869891,26985.894184187568,2511,2511,0,0,4.768173694610596,8.394115924835205
60,15,19,23711.882919532378,26161.637085749047,2392,2392,0,0,6.684551954269409,7.903527021408081
60,15,20,23268.26737502554,25693.94197435888,2370,2371,0,0,6.544908285140991,8.010746240615845
60,15,21,22818.22719105876,25767.63876979554,2388,2388,0,0,6.168536424636841,8.18177843093872
60,15,22,24227.668886430874,26530.955704179483,2426,2426,0,0,6.135892152786255,7.933751583099365
60,15,23,21793.45368236091,25516.915056461734,2355,2353,0,0,5.265479564666748,8.081339836120605
60,15,24,23320.848506068003,25910.368757970038,2378,2377,0,0,5.9708404541015625,7.9304821491241455
60,15,25,23330.31781111509,26466.570780506652,2401,2402,0,0,6.450695991516113,8.044388771057129
60,15,26,22673.090997492243,26059.286174057863,2348,2348,0,0,5.549527645111084,7.94314169883728
60,15,27,23059.241414388383,25587.892319297513,2407,2407,0,0,6.20271635055542,8.091709852218628
60,15,28,21694.05325648864,25973.77866755869,2413,2413,0,0,5.949481248855591,8.1077561378479
