rho,seed,t_r1,t_c_analytic
1.0001,1,40.12158929927913,38.790109182436424
1.0001,2,39.91338741670602,38.790109182436424
1.0001,3,40.13465033604576,38.790109182436424
1.0001,4,40.06712522668917,38.790109182436424
1.0001,5,39.97016483463257,38.790109182436424
1.0001,6,39.8531375917482,38.790109182436424
1.0001,7,40.03293032721137,38.790109182436424
1.0001,8,39.96061582023845,38.790109182436424
1.0001,9,39.97672181546862,38.790109182436424
1.0001,10,39.85088124217399,38.790109182436424
1.001,1,40.139748085118484,39.34852687696999
1.001,2,40.31032175525897,39.34852687696999
1.001,3,40.16661565663938,39.34852687696999
1.001,4,40.0074657025646,39.34852687696999
1.001,5,40.13912024387923,39.34852687696999
1.001,6,39.92238265538976,39.34852687696999
1.001,7,40.214597009754094,39.34852687696999
1.001,8,39.97041117204505,39.34852687696999
1.001,9,40.080494347936714,39.34852687696999
1.001,10,40.12580273800297,39.34852687696999
1.002,1,40.23282319088425,39.969167630403014
1.002,2,40.255198656883024,39.969167630403014
1.002,3,40.23099661924873,39.969167630403014
1.002,4,40.297551814666065,39.969167630403014
1.002,5,40.22332367742576,39.969167630403014
1.002,6,40.191112355500366,39.969167630403014
1.002,7,40.250204919187276,39.969167630403014
1.002,8,40.29215539158393,39.969167630403014
1.002,9,40.26194292546449,39.969167630403014
1.002,10,40.03557207037369,39.969167630403014
1.003,1,40.19585303365095,40.58960211893517
1.003,2,40.227495531051034,40.58960211893517
1.003,3,40.190913967702535,40.58960211893517
1.003,4,40.195510207070846,40.58960211893517
1.003,5,40.276640818214204,40.58960211893517
1.003,6,40.46088826160114,40.58960211893517
1.003,7,40.33439991441662,40.58960211893517
1.003,8,40.38466637122514,40.58960211893517
1.003,9,40.342074924744416,40.58960211893517
1.003,10,40.423281417002514,40.58960211893517
1.004,1,40.4040372406325,41.20942804139304
1.004,2,40.522782267136336,41.20942804139304
1.004,3,40.315870243702456,41.20942804139304
1.004,4,40.475586573054,41.20942804139304
1.004,5,40.499134262100384,41.20942804139304
1.004,6,40.59741108405557,41.20942804139304
1.004,7,40.614765169564876,41.20942804139304
1.004,8,40.39720245921008,41.20942804139304
1.004,9,40.493806466603004,41.20942804139304
1.004,10,40.353958354530185,41.20942804139304
1.006,1,40.7269817786137,42.44567026101301
1.006,2,40.52526402541072,42.44567026101301
1.006,3,40.60184880700516,42.44567026101301
1.006,4,40.550989072214584,42.44567026101301
1.006,5,40.67693718100432,42.44567026101301
1.006,6,40.643326882080395,42.44567026101301
1.006,7,40.709058088550535,42.44567026101301
1.006,8,40.63368264499501,42.44567026101301
1.006,9,40.727994904518326,42.44567026101301
1.006,10,40.62953446974343,42.44567026101301
1.01,1,41.11269731128162,44.893833804020225
1.01,2,41.136146564011625,44.893833804020225
1.01,3,41.00032041453511,44.893833804020225
1.01,4,41.15650152694637,44.893833804020225
1.01,5,41.01883249716115,44.893833804020225
1.01,6,41.04296190931308,44.893833804020225
1.01,7,41.10421352960448,44.893833804020225
1.01,8,41.17927895901073,44.893833804020225
1.01,9,41.22672860198526,44.893833804020225
1.01,10,41.20302289804789,44.893833804020225
