n,m,rho,seed,t_r1,t_r3a,t_c_analytic
4,6,1.0001,1,9.860376732446383,9.958263710888318,9.4564818981795
4,6,1.0001,2,9.967189033921246,10.012089823007491,9.4564818981795
4,6,1.0001,3,9.974111710718907,10.230392052266824,9.4564818981795
4,6,1.0001,4,9.913413656356536,9.996779822808968,9.4564818981795
4,6,1.0001,5,9.911074073039662,9.811314804127626,9.4564818981795
4,6,1.0001,6,10.070707694053391,10.220999079733321,9.4564818981795
4,6,1.0001,7,9.982435908363207,10.123649833622727,9.4564818981795
4,6,1.0001,8,10.06127653327984,10.301117888998732,9.4564818981795
4,6,1.0001,9,10.047947935215051,10.20067380858857,9.4564818981795
4,6,1.0001,10,10.01781065964967,10.386444151791766,9.4564818981795
4,6,1.0001,11,9.851571581870768,9.989105529704755,9.4564818981795
4,6,1.0001,12,9.987538619471001,10.244118583999532,9.4564818981795
4,6,1.0001,13,9.943604801529178,9.979477921427055,9.4564818981795
4,6,1.0001,14,9.942024372703914,10.349434275468415,9.4564818981795
4,6,1.0001,15,9.990458867810771,9.951607930726821,9.4564818981795
4,6,1.005,1,9.960154125788556,10.439151398317595,9.702207829867465
4,6,1.005,2,10.211571861129581,10.596467385884997,9.702207829867465
4,6,1.005,3,10.062853160420701,10.339905076455787,9.702207829867465
4,6,1.005,4,10.006605064425589,10.319293603023494,9.702207829867465
4,6,1.005,5,10.06442447800841,10.19600251346574,9.702207829867465
4,6,1.005,6,10.05058943926251,10.211465075458394,9.702207829867465
4,6,1.005,7,10.20725920915757,10.43829362906663,9.702207829867465
4,6,1.005,8,10.136081447773364,10.360187484476793,9.702207829867465
4,6,1.005,9,9.965751874923663,10.289590430814158,9.702207829867465
4,6,1.005,10,10.27857211818584,10.599321480172836,9.702207829867465
4,6,1.005,11,10.174609384064613,10.49348430214177,9.702207829867465
4,6,1.005,12,10.206870017381249,10.459893221577126,9.702207829867465
4,6,1.005,13,10.266690653678227,10.522478685827735,9.702207829867465
4,6,1.005,14,10.209863903798345,10.326163685917328,9.702207829867465
4,6,1.005,15,10.081720905035302,9.839871699510526,9.702207829867465
4,6,1.01,1,10.095733001284312,10.61626969111852,9.953740500690241
4,6,1.01,2,10.162944901377829,10.758462955949076,9.953740500690241
4,6,1.01,3,10.245437033004313,10.664651711800017,9.953740500690241
4,6,1.01,4,10.180397325130478,10.511694115906534,9.953740500690241
4,6,1.01,5,10.207791093615228,10.505202414980195,9.953740500690241
4,6,1.01,6,10.294741045762551,10.437677517810089,9.953740500690241
4,6,1.01,7,10.276074647933232,10.459211734353152,9.953740500690241
4,6,1.01,8,10.206169007439964,10.688467368187037,9.953740500690241
4,6,1.01,9,10.292796654005999,10.350493577026233,9.953740500690241
4,6,1.01,10,10.330040674755825,10.806616877863453,9.953740500690241
4,6,1.01,11,10.214007588368556,10.823200088022558,9.953740500690241
4,6,1.01,12,10.262754560759575,10.7647796909836,9.953740500690241
4,6,1.01,13,10.234503787402527,10.385482164024879,9.953740500690241
4,6,1.01,14,10.23863230949734,10.389619697814027,9.953740500690241
4,6,1.01,15,10.203039325470519,10.306093996257562,9.953740500690241
4,6,1.015,1,10.209861279660865,10.68473175968219,10.205821801153144
4,6,1.015,2,10.355002562757534,10.853505677716173,10.205821801153144
4,6,1.015,3,10.178013077586675,11.161908442877762,10.205821801153144
4,6,1.015,4,10.320740114396875,10.879909679916091,10.205821801153144
4,6,1.015,5,10.392355172545077,11.216647653477793,10.205821801153144
4,6,1.015,6,10.289815009206226,10.981933009454988,10.205821801153144
4,6,1.015,7,10.170828920443842,10.992139419445191,10.205821801153144
4,6,1.015,8,10.282595151706285,10.845455077200564,10.205821801153144
4,6,1.015,9,10.339051917102836,10.420206617422199,10.205821801153144
4,6,1.015,10,10.397190518458743,11.24503679365812,10.205821801153144
4,6,1.015,11,10.248104244773874,10.647329237914914,10.205821801153144
4,6,1.015,12,10.114065449423006,10.737777368809068,10.205821801153144
4,6,1.015,13,10.406091515190349,11.036550749348152,10.205821801153144
4,6,1.015,14,10.291308905001463,10.81195385804757,10.205821801153144
4,6,1.015,15,10.224710452220675,10.644268261022313,10.205821801153144
4,6,1.02,1,10.33923292090756,10.79384929721,10.458204132006301
4,6,1.02,2,10.442702679825208,11.117253573738592,10.458204132006301
4,6,1.02,3,10.327830248402336,10.812743428724207,10.458204132006301
4,6,1.02,4,10.426811708820269,11.130884075111462,10.458204132006301
4,6,1.02,5,10.294735792366124,11.217231361848249,10.458204132006301
4,6,1.02,6,10.338538530504222,11.04777600999841,10.458204132006301
4,6,1.02,7,10.420277409569199,10.741991803720396,10.458204132006301
4,6,1.02,8,10.495868359316578,10.993876665940055,10.458204132006301
4,6,1.02,9,10.474412889916586,11.208248963926366,10.458204132006301
4,6,1.02,10,10.531239110600286,11.32710594378816,10.458204132006301
4,6,1.02,11,10.460676140688186,11.103388007271972,10.458204132006301
4,6,1.02,12,10.32979699300057,11.084347400854634,10.458204132006301
4,6,1.02,13,10.351223901386522,11.046432110567691,10.458204132006301
4,6,1.02,14,10.426931939881731,10.914299769849832,10.458204132006301
4,6,1.02,15,10.35695836082378,10.916504302603332,10.458204132006301
