policy,layout_id,seed,runtime_s,missions_total,missions_completed,unfinished_at_cap,miss_rate,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,runtime_per_decision_us
baseline,0,1,0.35547351837158203,785,785,0,0.0,2.030902307560642,1.001,1.029902307560642,0.0,0,0.4925619834710744,0.11588411588411589,18.19174561634167
baseline,0,2,0.3382697105407715,809,809,0,0.0,2.0315652921537635,1.0,1.0315652921537635,0.0,0,0.49193548387096775,0.329,16.70080265255585
jsq,0,1,0.340634822845459,785,785,0,0.0,2.06330284224296,1.001,1.0623028422429601,0.0,0,0.43902439024390244,0.01898101898101898,20.345523896649844
jsq,0,2,0.34624242782592773,809,809,0,0.0,2.0380894484809486,1.002,1.0360894484809486,0.0,0,0.4435483870967742,0.038922155688622756,19.799186115814074
ours,0,1,1.4967482089996338,785,785,0,0.0,2.4057611732663986,1.001,1.404761173266399,0.0,0,0.1268867924528302,0.030969030969030968,1628.4607316368426
ours,0,2,1.812286138534546,809,809,0,0.0,2.3935258078306925,1.001,1.3925258078306924,0.0,0,0.11967403958090803,0.04595404595404595,1945.0281716599122
B3_use_queue_term_False,0,1,1.7617828845977783,785,785,0,0.0,2.384922772836644,1.001,1.3839227728366443,0.0,0,0.12422802850356295,0.0,1930.908669414543
B3_use_queue_term_False,0,2,1.8038229942321777,809,809,0,0.0,2.3662430574334987,1.0,1.3662430574334985,0.0,0,0.12123995407577497,0.0,1910.632836817412
use_reservation_False,0,1,1.7754902839660645,785,785,0,0.0,2.384922772836644,1.001,1.3839227728366443,0.0,0,0.12422802850356295,0.0,1945.5859869648868
use_reservation_False,0,2,1.8267240524291992,809,809,0,0.0,2.3662430574334987,1.0,1.3662430574334985,0.0,0,0.12123995407577497,0.0,1934.6980496852882
use_priority_False,0,1,1.78281569480896,785,785,0,0.0,2.395743745557204,1.001,1.394743745557204,0.0,0,0.1279236276849642,0.04195804195804196,1963.6106204190392
use_priority_False,0,2,1.802227258682251,809,809,0,0.0,2.39445012180944,1.001,1.3934501218094402,0.0,0,0.11586051743532058,0.03996003996003996,1869.474015765927
use_partial_False,0,1,1.5215175151824951,785,785,0,0.0,2.082163072153893,1.001,1.081163072153893,0.0,0,0.10273972602739725,0.005994005994005994,9524.601370523595
use_partial_False,0,2,1.5670509338378906,809,809,0,0.0,2.0790011106620154,1.002,1.0770011106620152,0.0,0,0.096,0.008982035928143712,9542.254668582853
ours_JIT,0,1,1.7686080932617188,785,785,0,0.0,2.4057611732663986,1.001,1.404761173266399,0.0,0,0.1268867924528302,0.0,1923.0024769264141
ours_JIT,0,2,1.7963831424713135,809,809,0,0.0,2.3935258078306925,1.001,1.3925258078306924,0.0,0,0.11967403958090803,0.0,1928.777415568293
use_charge_time_term_False,0,1,1.744797945022583,785,785,0,0.0,2.5729285156484583,1.0,1.5729285156484583,0.0,0,0.12371705963938974,0.0,2231.6922344223453
use_charge_time_term_False,0,2,1.765002965927124,809,809,0,0.0,2.5668123039851194,1.001,1.5658123039851193,0.0,0,0.12093628088426528,0.0,2115.2124847364166
