mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,f12_Z,safety_violations,charge_sessions
0.3,concentrated,B3_no_reservation,0,1,286,286,0,0.0,1.36,2.703207252854467,0,275
0.3,concentrated,B3_no_reservation,0,2,306,306,0,0.0,1.3264604810996563,2.6875378613917165,0,291
0.3,concentrated,B3_no_reservation,0,3,307,307,0,0.0,1.4072727272727272,2.7032062239011334,0,275
0.3,concentrated,B3_no_reservation,0,4,303,303,0,0.0,1.34375,2.698958143740498,0,288
0.3,concentrated,B3_no_reservation,0,5,293,293,0,0.0,1.3506493506493507,2.6904015300750133,0,308
0.3,concentrated,B3_no_reservation,0,6,331,331,0,0.0,1.3076923076923077,2.6993647478119684,0,325
0.3,concentrated,B3_no_reservation,1,7,282,282,0,0.0,1.3116438356164384,2.637784470795149,0,292
0.3,concentrated,B3_no_reservation,1,8,295,295,0,0.0,1.3034682080924855,2.691175639781097,0,346
0.3,concentrated,B3_no_reservation,1,9,309,309,0,0.0,1.322674418604651,2.700590523725487,0,344
0.3,concentrated,B3_no_reservation,1,10,332,332,0,0.0,1.3064935064935066,2.688772144222115,0,385
0.3,concentrated,B3_no_reservation,1,11,313,313,0,0.0,1.2797783933518005,2.659548152055858,0,361
0.3,concentrated,B3_no_reservation,1,12,267,267,0,0.0,1.3159722222222223,2.6843029447970634,0,288
0.3,concentrated,B3_no_reservation,2,13,275,275,0,0.0,1.33852140077821,2.64198040582165,0,257
0.3,concentrated,B3_no_reservation,2,14,311,311,0,0.0,1.4071428571428573,2.6866346931678353,0,280
0.3,concentrated,B3_no_reservation,2,15,306,306,0,0.0,1.3194888178913737,2.6594907985210594,0,313
0.3,concentrated,B3_no_reservation,2,16,285,285,0,0.0,1.330128205128205,2.7004981454838894,0,312
0.3,concentrated,B3_no_reservation,2,17,314,314,0,0.0,1.3470031545741326,2.6774797118609763,0,317
0.3,concentrated,B3_no_reservation,2,18,315,315,0,0.0,1.3448275862068966,2.680029263338427,0,319
0.3,concentrated,B3_no_reservation,3,19,299,299,0,0.0,1.450199203187251,2.6975466232310987,0,251
0.3,concentrated,B3_no_reservation,3,20,304,304,0,0.0,1.3741258741258742,2.68640152704776,0,286
0.3,concentrated,B3_no_reservation,3,21,329,329,0,0.0,1.323076923076923,2.7015321010956157,0,325
0.3,concentrated,B3_no_reservation,3,22,303,303,0,0.0,1.3563636363636364,2.653587217230383,0,275
0.3,concentrated,B3_no_reservation,3,23,298,298,0,0.0,1.3159722222222223,2.694595171224587,0,288
0.3,concentrated,B3_no_reservation,3,24,283,283,0,0.0,1.3295454545454546,2.6524040606213886,0,264
0.3,concentrated,B3_no_reservation,4,25,289,289,0,0.0,1.3277027027027026,2.6919279163246896,0,296
