mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,p95_charge_delay_min,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
0.3,concentrated,baseline,0,1,286,286,0,0.0,1.1904761904761905,2.0,2.0255177322294786,0.995,1.0305177322294787,0.0,0,0.0,0.0,42
0.3,concentrated,baseline,0,2,306,306,0,0.0,1.1818181818181819,2.0,2.003077938252278,1.001,1.0020779382522778,0.0,0,0.0,0.0,44
0.3,concentrated,baseline,0,3,307,307,0,0.0,1.1956521739130435,2.0,2.0520027280116127,1.0,1.0520027280116127,0.0,0,0.0,0.0,46
0.3,concentrated,baseline,0,4,303,303,0,0.0,1.1818181818181819,2.0,2.053582066389927,1.0,1.0535820663899267,0.0,0,0.0,0.0,44
0.3,concentrated,baseline,0,5,293,293,0,0.0,1.275,2.0,2.0223645808545854,0.996,1.0263645808545854,0.0,0,0.0,0.0,40
0.3,concentrated,baseline,0,6,331,331,0,0.0,1.2222222222222223,2.0,1.9970710121742954,0.999,0.9980710121742955,0.0,0,0.0,0.0,45
0.3,concentrated,baseline,1,7,282,282,0,0.0,1.2162162162162162,2.0,2.019366193438659,1.001,1.0183661934386592,0.0,0,0.0,0.0,37
0.3,concentrated,baseline,1,8,295,295,0,0.0,1.15,2.0,2.000173142703382,1.0,1.0001731427033822,0.0,0,0.0,0.0,40
0.3,concentrated,baseline,1,9,309,309,0,0.0,1.119047619047619,2.0,2.0275967682149205,0.998,1.0295967682149205,0.0,0,0.0,0.0,42
0.3,concentrated,baseline,1,10,332,332,0,0.0,1.1627906976744187,2.0,1.9976093460231878,1.002,0.9956093460231878,0.0,0,0.0,0.0,43
0.3,concentrated,baseline,1,11,313,313,0,0.0,1.2,2.0,2.0483300249493013,0.995,1.0533300249493014,0.0,0,0.0,0.0,45
0.3,concentrated,baseline,1,12,267,267,0,0.0,1.0810810810810811,2.0,2.010582023427657,1.003,1.0075820234276571,0.0,0,0.0,0.0,37
0.3,concentrated,baseline,2,13,275,275,0,0.0,1.131578947368421,2.0,1.9951878588270526,1.002,0.9931878588270525,0.0,0,0.0,0.0,38
0.3,concentrated,baseline,2,14,311,311,0,0.0,1.25,2.0,2.0656277287607976,0.996,1.0696277287607978,0.0,0,0.0,0.0,44
0.3,concentrated,baseline,2,15,306,306,0,0.0,1.1666666666666667,2.0,2.0223274889870764,1.001,1.0213274889870763,0.0,0,0.0,0.0,42
0.3,concentrated,baseline,2,16,285,285,0,0.0,1.2439024390243902,2.0,2.0384547676464893,1.0,1.0384547676464893,0.0,0,0.0,0.0,41
0.3,concentrated,baseline,2,17,314,314,0,0.0,1.25,2.0,2.0463637328312156,1.0,1.0463637328312159,0.0,0,0.0,0.0,44
0.3,concentrated,baseline,2,18,315,315,0,0.0,1.3095238095238095,2.0,1.9994042944891068,0.998,1.0014042944891068,0.0,0,0.0,0.0,42
0.3,concentrated,baseline,3,19,299,299,0,0.0,1.1627906976744187,2.0,2.026332733952111,0.998,1.028332733952111,0.0,0,0.0,0.0,43
0.3,concentrated,baseline,3,20,304,304,0,0.0,1.25,2.0,2.041005848308349,0.996,1.0450058483083493,0.0,0,0.0,0.0,44
0.3,concentrated,baseline,3,21,329,329,0,0.0,1.1777777777777778,2.0,2.0048816438208465,0.995,1.0098816438208464,0.0,0,0.0,0.0,45
0.3,concentrated,baseline,3,22,303,303,0,0.0,1.3181818181818181,2.0,2.0352014020902844,1.001,1.0342014020902845,0.0,0,0.0,0.0,44
0.3,concentrated,baseline,3,23,298,298,0,0.0,1.15,2.0,2.0352926946767953,1.0,1.0352926946767955,0.0,0,0.0,0.0,40
0.3,concentrated,baseline,3,24,283,283,0,0.0,1.1282051282051282,2.0,2.0455288964884857,1.001,1.0445288964884858,0.0,0,0.0,0.0,39
0.3,concentrated,baseline,4,25,289,289,0,0.0,1.125,2.0,2.021859319973248,1.001,1.0208593199732483,0.0,0,0.0,0.0,40
0.3,concentrated,baseline,4,26,286,286,0,0.0,1.1282051282051282,2.0,2.0367461682124066,1.001,1.0357461682124067,0.0,0,0.0,0.0,39
0.3,concentrated,baseline,4,27,316,316,0,0.0,1.0666666666666667,1.7999999999999972,2.0325527335022566,1.001,1.0315527335022567,0.0,0,0.0,0.0,45
0.3,concentrated,baseline,4,28,256,256,0,0.0,1.1470588235294117,2.0,1.9420780315601185,0.994,0.9480780315601185,0.0,0,0.0,0.0,34
0.3,concentrated,baseline,4,29,342,342,0,0.0,1.0625,1.6499999999999986,2.007816771589301,1.002,1.005816771589301,0.0,0,0.0,0.0,48
0.3,concentrated,baseline,4,30,309,309,0,0.0,1.1363636363636365,2.0,2.045277915517893,1.002,1.043277915517893,0.0,0,0.0,0.0,44
0.3,concentrated,jsq,0,1,286,286,0,0.0,1.1904761904761905,2.0,2.0255177322294786,0.995,1.0305177322294787,0.0,0,0.0,0.0,42
0.3,concentrated,jsq,0,2,306,306,0,0.0,1.1818181818181819,2.0,2.003077938252278,1.001,1.0020779382522778,0.0,0,0.0,0.0,44
0.3,concentrated,jsq,0,3,307,307,0,0.0,1.1956521739130435,2.0,2.0520027280116127,1.0,1.0520027280116127,0.0,0,0.0,0.0,46
0.3,concentrated,jsq,0,4,303,303,0,0.0,1.1818181818181819,2.0,2.053582066389927,1.0,1.0535820663899267,0.0,0,0.0,0.0,44
0.3,concentrated,jsq,0,5,293,293,0,0.0,1.275,2.0,2.0223645808545854,0.996,1.0263645808545854,0.0,0,0.0,0.0,40
0.3,concentrated,jsq,0,6,331,331,0,0.0,1.2222222222222223,2.0,1.9970710121742954,0.999,0.9980710121742955,0.0,0,0.0,0.0,45
0.3,concentrated,jsq,1,7,282,282,0,0.0,1.2162162162162162,2.0,2.019366193438659,1.001,1.0183661934386592,0.0,0,0.0,0.0,37
0.3,concentrated,jsq,1,8,295,295,0,0.0,1.15,2.0,2.000173142703382,1.0,1.0001731427033822,0.0,0,0.0,0.0,40
0.3,concentrated,jsq,1,9,309,309,0,0.0,1.119047619047619,2.0,2.0275967682149205,0.998,1.0295967682149205,0.0,0,0.0,0.0,42
0.3,concentrated,jsq,1,10,332,332,0,0.0,1.1627906976744187,2.0,1.9976093460231878,1.002,0.9956093460231878,0.0,0,0.0,0.0,43
0.3,concentrated,jsq,1,11,313,313,0,0.0,1.2,2.0,2.0483300249493013,0.995,1.0533300249493014,0.0,0,0.0,0.0,45
0.3,concentrated,jsq,1,12,267,267,0,0.0,1.0810810810810811,2.0,2.010582023427657,1.003,1.0075820234276571,0.0,0,0.0,0.0,37
0.3,concentrated,jsq,2,13,275,275,0,0.0,1.131578947368421,2.0,1.9951878588270526,1.002,0.9931878588270525,0.0,0,0.0,0.0,38
0.3,concentrated,jsq,2,14,311,311,0,0.0,1.25,2.0,2.0656277287607976,0.996,1.0696277287607978,0.0,0,0.0,0.0,44
0.3,concentrated,jsq,2,15,306,306,0,0.0,1.1666666666666667,2.0,2.0223274889870764,1.001,1.0213274889870763,0.0,0,0.0,0.0,42
0.3,concentrated,jsq,2,16,285,285,0,0.0,1.2439024390243902,2.0,2.0384547676464893,1.0,1.0384547676464893,0.0,0,0.0,0.0,41
0.3,concentrated,jsq,2,17,314,314,0,0.0,1.25,2.0,2.0463637328312156,1.0,1.0463637328312159,0.0,0,0.0,0.0,44
0.3,concentrated,jsq,2,18,315,315,0,0.0,1.3095238095238095,2.0,1.9994042944891068,0.998,1.0014042944891068,0.0,0,0.0,0.0,42
0.3,concentrated,jsq,3,19,299,299,0,0.0,1.1627906976744187,2.0,2.026332733952111,0.998,1.028332733952111,0.0,0,0.0,0.0,43
0.3,concentrated,jsq,3,20,304,304,0,0.0,1.25,2.0,2.041005848308349,0.996,1.0450058483083493,0.0,0,0.0,0.0,44
0.3,concentrated,jsq,3,21,329,329,0,0.0,1.1777777777777778,2.0,2.0048816438208465,0.995,1.0098816438208464,0.0,0,0.0,0.0,45
0.3,concentrated,jsq,3,22,303,303,0,0.0,1.3181818181818181,2.0,2.0352014020902844,1.001,1.0342014020902845,0.0,0,0.0,0.0,44
0.3,concentrated,jsq,3,23,298,298,0,0.0,1.15,2.0,2.0352926946767953,1.0,1.0352926946767955,0.0,0,0.0,0.0,40
0.3,concentrated,jsq,3,24,283,283,0,0.0,1.1282051282051282,2.0,2.0455288964884857,1.001,1.0445288964884858,0.0,0,0.0,0.0,39
0.3,concentrated,jsq,4,25,289,289,0,0.0,1.125,2.0,2.021859319973248,1.001,1.0208593199732483,0.0,0,0.0,0.0,40
0.3,concentrated,jsq,4,26,286,286,0,0.0,1.1282051282051282,2.0,2.0367461682124066,1.001,1.0357461682124067,0.0,0,0.0,0.0,39
0.3,concentrated,jsq,4,27,316,316,0,0.0,1.0666666666666667,1.7999999999999972,2.0325527335022566,1.001,1.0315527335022567,0.0,0,0.0,0.0,45
0.3,concentrated,jsq,4,28,256,256,0,0.0,1.1470588235294117,2.0,1.9420780315601185,0.994,0.9480780315601185,0.0,0,0.0,0.0,34
0.3,concentrated,jsq,4,29,342,342,0,0.0,1.0625,1.6499999999999986,2.007816771589301,1.002,1.005816771589301,0.0,0,0.0,0.0,48
0.3,concentrated,jsq,4,30,309,309,0,0.0,1.1363636363636365,2.0,2.045277915517893,1.002,1.043277915517893,0.0,0,0.0,0.0,44
0.3,concentrated,ours,0,1,286,286,0,0.0,1.36,2.0,2.703207252854467,0.995,1.7082072528544672,0.0,0,0.0,0.0,275
0.3,concentrated,ours,0,2,306,306,0,0.0,1.3264604810996563,2.0,2.6875378613917165,1.001,1.6865378613917166,0.0,0,0.0,0.0,291
0.3,concentrated,ours,0,3,307,307,0,0.0,1.4072727272727272,2.0,2.7032062239011334,1.0,1.7032062239011334,0.0,0,0.0,0.0,275
0.3,concentrated,ours,0,4,303,303,0,0.0,1.34375,2.0,2.698958143740498,1.0,1.6989581437404977,0.0,0,0.0,0.0,288
0.3,concentrated,ours,0,5,293,293,0,0.0,1.3506493506493507,2.0,2.6904015300750133,0.995,1.6954015300750134,0.0,0,0.0,0.0,308
0.3,concentrated,ours,0,6,331,331,0,0.0,1.3076923076923077,2.0,2.6993647478119684,0.998,1.7013647478119684,0.0,0,0.0,0.0,325
0.3,concentrated,ours,1,7,282,282,0,0.0,1.3116438356164384,2.0,2.637784470795149,1.001,1.636784470795149,0.0,0,0.0,0.0,292
0.3,concentrated,ours,1,8,295,295,0,0.0,1.3034682080924855,2.0,2.691175639781097,0.999,1.6921756397810968,0.0,0,0.0,0.0,346
0.3,concentrated,ours,1,9,309,309,0,0.0,1.322674418604651,2.0,2.700590523725487,0.999,1.701590523725487,0.0,0,0.0,0.0,344
0.3,concentrated,ours,1,10,332,332,0,0.0,1.3064935064935066,2.0,2.688772144222115,1.002,1.6867721442221149,0.0,0,0.0,0.0,385
0.3,concentrated,ours,1,11,313,313,0,0.0,1.2797783933518005,2.0,2.659548152055858,0.995,1.664548152055858,0.0,0,0.0,0.0,361
0.3,concentrated,ours,1,12,267,267,0,0.0,1.3159722222222223,2.0,2.6843029447970634,1.001,1.6833029447970638,0.0,0,0.0,0.0,288
0.3,concentrated,ours,2,13,275,275,0,0.0,1.33852140077821,2.0,2.64198040582165,1.002,1.6399804058216498,0.0,0,0.0,0.0,257
0.3,concentrated,ours,2,14,311,311,0,0.0,1.4071428571428573,2.0,2.6866346931678353,0.995,1.6916346931678352,0.0,0,0.0,0.0,280
0.3,concentrated,ours,2,15,306,306,0,0.0,1.3194888178913737,2.0,2.6594907985210594,1.001,1.6584907985210595,0.0,0,0.0,0.0,313
0.3,concentrated,ours,2,16,285,285,0,0.0,1.330128205128205,2.0,2.7004981454838894,1.001,1.6994981454838896,0.0,0,0.0,0.0,312
0.3,concentrated,ours,2,17,314,314,0,0.0,1.3470031545741326,2.0,2.6774797118609763,1.0,1.6774797118609766,0.0,0,0.0,0.0,317
0.3,concentrated,ours,2,18,315,315,0,0.0,1.3448275862068966,2.0,2.680029263338427,0.998,1.6820292633384268,0.0,0,0.0,0.0,319
0.3,concentrated,ours,3,19,299,299,0,0.0,1.450199203187251,2.0,2.6975466232310987,0.999,1.6985466232310986,0.0,0,0.0,0.0,251
0.3,concentrated,ours,3,20,304,304,0,0.0,1.3741258741258742,2.0,2.68640152704776,0.996,1.6904015270477601,0.0,0,0.0,0.0,286
0.3,concentrated,ours,3,21,329,329,0,0.0,1.323076923076923,2.0,2.7015321010956157,0.995,1.7065321010956158,0.0,0,0.0,0.0,325
0.3,concentrated,ours,3,22,303,303,0,0.0,1.3563636363636364,2.0,2.653587217230383,1.0,1.6535872172303827,0.0,0,0.0,0.0,275
0.3,concentrated,ours,3,23,298,298,0,0.0,1.3159722222222223,2.0,2.694595171224587,1.0,1.694595171224587,0.0,0,0.0,0.0,288
0.3,concentrated,ours,3,24,283,283,0,0.0,1.3295454545454546,2.0,2.6524040606213886,1.001,1.6514040606213884,0.0,0,0.0,0.0,264
0.3,concentrated,ours,4,25,289,289,0,0.0,1.3277027027027026,2.0,2.6919279163246896,1.001,1.69092791632469,0.0,0,0.0,0.0,296
0.3,concentrated,ours,4,26,286,286,0,0.0,1.346938775510204,2.0,2.6560140621865047,1.0,1.6560140621865047,0.0,0,0.0,0.0,294
0.3,concentrated,ours,4,27,316,316,0,0.0,1.3312883435582823,2.0,2.72404052068602,1.001,1.7230405206860202,0.0,0,0.0,0.0,326
0.3,concentrated,ours,4,28,256,256,0,0.0,1.3665338645418326,2.0,2.67621368202078,0.994,1.68221368202078,0.0,0,0.0,0.0,251
