mission_rate,arm,policy,layout_id,seed,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,p95_charge_delay_min,f12_Z,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations,gate_binding_rate,mean_on_pad_queue_length,charge_sessions
0.3,concentrated,ours_f9_priority_insertion,0,1,286,286,0,0.0,1.36,2.0,2.703207252854467,0.995,1.7082072528544672,0.0,0,0.0,0.0,275
0.3,concentrated,ours_f9_priority_insertion,0,2,306,306,0,0.0,1.3264604810996563,2.0,2.6875378613917165,1.001,1.6865378613917166,0.0,0,0.0,0.0,291
0.3,concentrated,ours_f9_priority_insertion,0,3,307,307,0,0.0,1.4072727272727272,2.0,2.7032062239011334,1.0,1.7032062239011334,0.0,0,0.0,0.0,275
0.3,concentrated,ours_f9_priority_insertion,0,4,303,303,0,0.0,1.34375,2.0,2.698958143740498,1.0,1.6989581437404977,0.0,0,0.0,0.0,288
0.3,concentrated,ours_f9_priority_insertion,0,5,293,293,0,0.0,1.3506493506493507,2.0,2.6904015300750133,0.995,1.6954015300750134,0.0,0,0.0,0.0,308
0.3,concentrated,ours_f9_priority_insertion,0,6,331,331,0,0.0,1.3076923076923077,2.0,2.6993647478119684,0.998,1.7013647478119684,0.0,0,0.0,0.0,325
0.3,concentrated,ours_f9_priority_insertion,1,7,282,282,0,0.0,1.3116438356164384,2.0,2.637784470795149,1.001,1.636784470795149,0.0,0,0.0,0.0,292
0.3,concentrated,ours_f9_priority_insertion,1,8,295,295,0,0.0,1.3034682080924855,2.0,2.691175639781097,0.999,1.6921756397810968,0.0,0,0.0,0.0,346
0.3,concentrated,ours_f9_priority_insertion,1,9,309,309,0,0.0,1.322674418604651,2.0,2.700590523725487,0.999,1.701590523725487,0.0,0,0.0,0.0,344
0.3,concentrated,ours_f9_priority_insertion,1,10,332,332,0,0.0,1.3064935064935066,2.0,2.688772144222115,1.002,1.6867721442221149,0.0,0,0.0,0.0,385
0.3,concentrated,ours_f9_priority_insertion,1,11,313,313,0,0.0,1.2797783933518005,2.0,2.659548152055858,0.995,1.664548152055858,0.0,0,0.0,0.0,361
0.3,concentrated,ours_f9_priority_insertion,1,12,267,267,0,0.0,1.3159722222222223,2.0,2.6843029447970634,1.001,1.6833029447970638,0.0,0,0.0,0.0,288
0.3,concentrated,ours_f9_priority_insertion,2,13,275,275,0,0.0,1.33852140077821,2.0,2.64198040582165,1.002,1.6399804058216498,0.0,0,0.0,0.0,257
0.3,concentrated,ours_f9_priority_insertion,2,14,311,311,0,0.0,1.4071428571428573,2.0,2.6866346931678353,0.995,1.6916346931678352,0.0,0,0.0,0.0,280
0.3,concentrated,ours_f9_priority_insertion,2,15,306,306,0,0.0,1.3194888178913737,2.0,2.6594907985210594,1.001,1.6584907985210595,0.0,0,0.0,0.0,313
0.3,concentrated,ours_f9_priority_insertion,2,16,285,285,0,0.0,1.330128205128205,2.0,2.7004981454838894,1.001,1.6994981454838896,0.0,0,0.0,0.0,312
0.3,concentrated,ours_f9_priority_insertion,2,17,314,314,0,0.0,1.3470031545741326,2.0,2.6774797118609763,1.0,1.6774797118609766,0.0,0,0.0,0.0,317
0.3,concentrated,ours_f9_priority_insertion,2,18,315,315,0,0.0,1.3448275862068966,2.0,2.680029263338427,0.998,1.6820292633384268,0.0,0,0.0,0.0,319
0.3,concentrated,ours_f9_priority_insertion,3,19,299,299,0,0.0,1.450199203187251,2.0,2.6975466232310987,0.999,1.6985466232310986,0.0,0,0.0,0.0,251
0.3,concentrated,ours_f9_priority_insertion,3,20,304,304,0,0.0,1.3741258741258742,2.0,2.68640152704776,0.996,1.6904015270477601,0.0,0,0.0,0.0,286
0.3,concentrated,ours_f9_priority_insertion,3,21,329,329,0,0.0,1.323076923076923,2.0,2.7015321010956157,0.995,1.7065321010956158,0.0,0,0.0,0.0,325
0.3,concentrated,ours_f9_priority_insertion,3,22,303,303,0,0.0,1.3563636363636364,2.0,2.653587217230383,1.0,1.6535872172303827,0.0,0,0.0,0.0,275
0.3,concentrated,ours_f9_priority_insertion,3,23,298,298,0,0.0,1.3159722222222223,2.0,2.694595171224587,1.0,1.694595171224587,0.0,0,0.0,0.0,288
0.3,concentrated,ours_f9_priority_insertion,3,24,283,283,0,0.0,1.3295454545454546,2.0,2.6524040606213886,1.001,1.6514040606213884,0.0,0,0.0,0.0,264
0.3,concentrated,ours_f9_priority_insertion,4,25,289,289,0,0.0,1.3277027027027026,2.0,2.6919279163246896,1.001,1.69092791632469,0.0,0,0.0,0.0,296
0.3,concentrated,ours_f9_priority_insertion,4,26,286,286,0,0.0,1.346938775510204,2.0,2.6560140621865047,1.0,1.6560140621865047,0.0,0,0.0,0.0,294
0.3,concentrated,ours_f9_priority_insertion,4,27,316,316,0,0.0,1.3312883435582823,2.0,2.72404052068602,1.001,1.7230405206860202,0.0,0,0.0,0.0,326
0.3,concentrated,ours_f9_priority_insertion,4,28,256,256,0,0.0,1.3665338645418326,2.0,2.67621368202078,0.994,1.68221368202078,0.0,0,0.0,0.0,251
0.3,concentrated,ours_f9_priority_insertion,4,29,342,342,0,0.0,1.2893982808022924,2.0,2.653309081604397,1.002,1.651309081604397,0.0,0,0.0,0.0,349
0.3,concentrated,ours_f9_priority_insertion,4,30,309,309,0,0.0,1.307936507936508,2.0,2.669129622961599,1.002,1.667129622961599,0.0,0,0.0,0.0,315
0.3,distributed,ours_f9_priority_insertion,0,1,286,286,0,0.0,1.0493827160493827,1.0,2.2124369292439843,0.996,1.2164369292439845,0.0,0,0.28404907975460125,0.011,324
0.3,distributed,ours_f9_priority_insertion,0,2,306,306,0,0.0,1.0205882352941176,1.0,2.229057769134936,1.002,1.2270577691349358,0.0,0,0.2635294117647059,0.003992015968063872,340
0.3,distributed,ours_f9_priority_insertion,0,3,307,307,0,0.0,1.0292397660818713,1.0,2.2112174369667756,1.0,1.2112174369667756,0.0,0,0.27288629737609327,0.007,342
0.3,distributed,ours_f9_priority_insertion,0,4,303,303,0,0.0,1.013623978201635,1.0,2.22311235860228,1.001,1.22211235860228,0.0,0,0.26059782608695653,0.001998001998001998,367
0.3,distributed,ours_f9_priority_insertion,0,5,293,293,0,0.0,1.0470588235294118,1.0,2.2089224309765285,0.995,1.2139224309765284,0.0,0,0.2656891495601173,0.012,340
0.3,distributed,ours_f9_priority_insertion,0,6,331,331,0,0.0,1.0132275132275133,1.0,2.1988573743500663,0.998,1.2008573743500663,0.0,0,0.28891820580474936,0.004,378
0.3,distributed,ours_f9_priority_insertion,1,7,282,282,0,0.0,1.0951086956521738,1.6499999999999773,2.2414672588535813,1.001,1.2404672588535817,0.0,0,0.27783783783783783,0.025974025974025976,368
0.3,distributed,ours_f9_priority_insertion,1,8,295,295,0,0.0,1.108235294117647,2.0,2.253038641276974,1.0,1.2530386412769736,0.0,0,0.2774647887323944,0.032,425
0.3,distributed,ours_f9_priority_insertion,1,9,309,309,0,0.0,1.095137420718816,1.0,2.267288199119494,0.998,1.2692881991194942,0.0,0,0.2569620253164557,0.037,473
0.3,distributed,ours_f9_priority_insertion,1,10,332,332,0,0.0,1.125,2.0,2.28830460137161,1.002,1.28630460137161,0.0,0,0.25218295218295217,0.04291417165668663,480
0.3,distributed,ours_f9_priority_insertion,1,11,313,313,0,0.0,1.1146067415730336,2.0,2.277818015923682,0.995,1.282818015923682,0.0,0,0.2446188340807175,0.028,445
0.3,distributed,ours_f9_priority_insertion,1,12,267,267,0,0.0,1.0688705234159779,2.0,2.2333848058675905,1.003,1.2303848058675904,0.0,0,0.26721763085399447,0.004985044865403789,363
0.3,distributed,ours_f9_priority_insertion,2,13,275,275,0,0.0,1.0747126436781609,1.0,2.22483548102789,1.002,1.2228354810278903,0.0,0,0.25787965616045844,0.018962075848303395,348
0.3,distributed,ours_f9_priority_insertion,2,14,311,311,0,0.0,1.0498753117206983,1.0,2.2367962235914676,0.995,1.2417962235914675,0.0,0,0.2716417910447761,0.017,401
