policy,arm,layout_id,seed,runtime_s,missions_total,missions_completed,unfinished_at_cap,miss_rate,mean_charge_delay_min,p95_charge_delay_min,f12_Z,safety_violations
baseline,concentrated,0,1,0.6850786209106445,866,866,0,0.0,1.1900826446280992,2.0,2.0578056151009045,0
baseline,concentrated,0,2,0.6775455474853516,921,921,0,0.0,1.1666666666666667,2.0,2.0535659800298136,0
baseline,distributed,0,1,0.5549981594085693,866,866,0,0.0,14.094488188976378,63.49999999999994,2.0089022087361963,0
baseline,distributed,0,2,0.5786380767822266,921,921,0,0.0,16.611940298507463,62.04999999999998,1.9984880728976084,0
jsq,concentrated,0,1,0.9351890087127686,866,866,0,0.0,1.1900826446280992,2.0,2.0578056151009045,0
jsq,concentrated,0,2,1.0804941654205322,921,921,0,0.0,1.1666666666666667,2.0,2.0535659800298136,0
jsq,distributed,0,1,0.9937634468078613,866,866,0,0.0,2.6946564885496183,13.0,2.050285986404246,0
jsq,distributed,0,2,1.0465805530548096,921,921,0,0.0,2.8175182481751824,14.599999999999909,2.047879488425746,0
ours,concentrated,0,1,2.0343074798583984,866,866,0,0.0,1.369289340101523,2.0,2.783673217971476,0
ours,concentrated,0,2,2.178178548812866,921,921,0,0.0,1.4004825090470445,2.0,2.775963337470743,0
ours,distributed,0,1,2.3035154342651367,866,866,0,0.0,1.0976361767728675,2.0,2.3235112825276523,0
ours,distributed,0,2,2.4644579887390137,921,921,0,0.0,1.0951923076923078,2.0,2.330769374623851,0
B3_use_queue_term_False,concentrated,0,1,2.0320398807525635,866,866,0,0.0,1.368020304568528,2.0,2.783673217971476,0
B3_use_queue_term_False,concentrated,0,2,2.117021322250366,921,921,0,0.0,1.3983050847457628,2.0,2.775325523147001,0
B3_use_queue_term_False,distributed,0,1,2.268115997314453,866,866,0,0.0,1.007172131147541,1.0,2.251981939454367,0
B3_use_queue_term_False,distributed,0,2,2.4048867225646973,921,921,0,0.0,1.0084586466165413,1.0,2.237126846832835,0
