config,policy,layout_id,seed,n_uavs,n_stations,mission_rate,missions_total,missions_completed,unfinished_at_cap,miss_rate,makespan_min,mission_flight_energy_wh,station_trip_energy_wh,end_of_run_stored_charge_change_wh,mission_flight_energy_per_completed_wh,station_trip_energy_per_completed_wh,stored_charge_change_per_completed_wh,total_charge_energy_ticked_wh,safety_violations,charge_sessions
fleet_12,ours_partial,0,1,12,3,0.8,782,782,0,0.0025575447570332483,1035.0,8965.642361414604,5252.95163135732,-405.23085542311793,11.465015807435556,6.717329451863581,-0.5181980248377467,13813.363137349455,0,1017
fleet_12,ours_partial,0,2,12,3,0.8,811,811,0,0.0012330456226880395,1007.0,9669.470534250911,5660.08290213627,-678.984468556663,11.922898315969064,6.979140446530542,-0.8372188268269581,14650.568967831316,0,1104
fleet_12,ours_partial,0,3,12,3,0.8,812,812,0,0.0024630541871921183,1033.0,9581.528801870594,5828.139372123659,-549.1077619702958,11.799912317574623,7.17751154202421,-0.676241086170315,14860.560412024774,0,1063
fleet_12,ours_partial,0,4,12,3,0.8,828,828,0,0.0036231884057971015,1038.0,9381.571019147745,5878.6806344637835,-560.7157932821231,11.330399781579402,7.099855838724376,-0.6771929870557042,14699.53586033019,0,1170
fleet_12,ours_partial,0,5,12,3,0.8,761,761,0,0.0,1002.0,8557.116720953058,5050.857626483201,-612.5746416623819,11.244568621488906,6.637132229281473,-0.804960107309306,12995.399705774393,0,1025
fleet_12,ours_partial,0,6,12,3,0.8,854,854,0,0.00351288056206089,1039.0,10171.598489478274,6199.950477682184,-552.8742453595346,11.910536872925379,7.259895172929958,-0.6473937299291974,15818.674721801899,0,1200
fleet_12,ours_partial,1,7,12,3,0.8,744,744,0,0.0,1002.0,7226.5141315175,4404.341151311532,-633.095440848674,9.713056628383736,5.919813375418725,-0.8509347323234866,10997.759841980549,0,985
fleet_12,ours_partial,1,8,12,3,0.8,777,777,0,0.0,1002.0,7900.337891410304,4929.592314308188,-616.830406298921,10.167745033990096,6.344391652906291,-0.7938615267682382,12213.099799419926,0,1045
fleet_12,ours_partial,1,9,12,3,0.8,795,795,0,0.0,1001.0,7816.123146732166,4857.819667176911,-606.4591434990958,9.831601442430397,6.110464990159636,-0.7628416899359696,12067.483670410324,0,1044
fleet_12,ours_partial,1,10,12,3,0.8,832,832,0,0.0,1001.0,8551.002360279066,5521.092586379185,-624.8726196965857,10.277647067643109,6.635928589398059,-0.751048821750704,13447.222326962219,0,1094
fleet_12,ours_partial,1,11,12,3,0.8,791,791,0,0.0,1002.0,8120.080234189937,5243.610678039625,-600.0805754576693,10.265588159532157,6.629090616990676,-0.7586353672031217,12763.610336772324,0,1137
fleet_12,ours_partial,1,12,12,3,0.8,764,764,0,0.0,1000.0,7800.213941752962,4888.520971434975,-619.6006924728192,10.209704112242097,6.398587658946302,-0.8109956707759414,12069.134220715461,0,1027
fleet_12,ours_partial,2,13,12,3,0.8,804,804,0,0.0,1001.0,7039.5403570835515,4984.134176804171,-602.5292143566757,8.755647210302925,6.199171861696731,-0.7494144457172582,11421.145319531293,0,901
fleet_12,ours_partial,2,14,12,3,0.8,816,816,0,0.0,1000.0,7110.865314085071,4999.358277250617,-599.8399917737364,8.71429572804543,6.126664555454187,-0.7350980291344809,11510.383599562221,0,905
fleet_12,ours_partial,2,15,12,3,0.8,787,787,0,0.0,1001.0,6706.842085758961,4772.560854519124,-594.195819315499,8.52203568711431,6.064245050214898,-0.7550137475419301,10885.207120962743,0,898
fleet_12,ours_partial,2,16,12,3,0.8,789,789,0,0.0,1001.0,6809.928415691367,4637.816620475128,-569.4036597344666,8.631087979329996,5.878094576014104,-0.7216776422490071,10878.341376432185,0,894
fleet_12,ours_partial,2,17,12,3,0.8,833,833,0,0.0,1001.0,7175.75432607409,4998.022866405827,-566.3233419861178,8.614350931661573,6.000027450667259,-0.6798599543650874,11607.45385049409,0,945
fleet_12,ours_partial,2,18,12,3,0.8,813,813,0,0.0,1001.0,7265.290404501198,5137.0262414937015,-589.2562308406609,8.93639656150209,6.318605463091884,-0.7247924118581315,11813.06041515456,0,938
fleet_12,ours_partial,3,19,12,3,0.8,758,758,0,0.0,1002.0,6865.277650877751,4617.299999765881,-579.9181227225507,9.057094526223946,6.091424801801954,-0.7650634864413598,10902.659527921263,0,909
fleet_12,ours_partial,3,20,12,3,0.8,797,797,0,0.0,1002.0,7145.512874794802,4739.15719712905,-581.0288368394513,8.965511762603265,5.946244914841969,-0.7290198705639288,11303.641235084633,0,879
fleet_12,ours_partial,3,21,12,3,0.8,809,809,0,0.0,1001.0,7220.316452140928,4994.859787700026,-628.7331846628118,8.924989434043175,6.174115930407943,-0.7771732814126228,11586.443055178413,0,964
fleet_12,ours_partial,3,22,12,3,0.8,778,778,0,0.0,1003.0,6947.606242492685,4822.32436165845,-520.4057134929129,8.93008514459214,6.198360362028856,-0.6689019453636413,11249.524890658464,0,925
fleet_12,ours_partial,3,23,12,3,0.8,788,788,0,0.0,1001.0,6985.517444384459,4620.468580170259,-604.2550620358616,8.864869853279771,5.863538807322664,-0.7668211447155604,11001.730962519052,0,923
fleet_12,ours_partial,3,24,12,3,0.8,769,769,0,0.0,1001.0,6830.970228934002,4526.549661208715,-574.5267925969523,8.882926175466842,5.886280443704441,-0.7471089630649574,10782.993097545923,0,871
fleet_12,ours_partial,4,25,12,3,0.8,776,776,0,0.0,1001.0,7196.310897361814,4170.35841884245,-597.1196609639709,9.273596517218833,5.374173220157797,-0.7694840991803749,10769.549655240442,0,859
fleet_12,ours_partial,4,26,12,3,0.8,780,780,0,0.0,1001.0,7504.308941357073,4418.505800532927,-595.1595282093647,9.620908899175735,5.664751026324266,-0.7630250361658522,11327.655213680857,0,907
fleet_12,ours_partial,4,27,12,3,0.8,777,777,0,0.0,1002.0,7214.281194560303,4320.505613440634,-624.5347961664193,9.284789182188293,5.560496284994381,-0.8037770864432681,10910.252011834666,0,899
fleet_12,ours_partial,4,28,12,3,0.8,755,755,0,0.0,999.0,7105.914858511026,4214.796424059377,-593.7413859644414,9.411807759617252,5.582511819946196,-0.786412431740982,10726.969896606093,0,879
fleet_12,ours_partial,4,29,12,3,0.8,832,832,0,0.0,999.0,7596.3136620177975,4710.989539260772,-633.898199757351,9.130184689925237,5.662247042380736,-0.7618968747083545,11673.405001521493,0,939
fleet_12,ours_partial,4,30,12,3,0.8,753,753,0,0.0,1001.0,6935.564909763371,3997.7262859493567,-597.0328718019729,9.210577569406867,5.309065452787991,-0.7928723397104553,10336.25832391082,0,819
fleet_12,ours_full,0,1,12,3,0.8,782,782,0,0.0,1000.0,8369.46126834718,1491.3656758019408,-426.89359422739153,10.702635893027084,1.9071172324833003,-0.545899736863672,9433.93334992165,0,156
fleet_12,ours_full,0,2,12,3,0.8,811,811,0,0.0,1001.0,8698.276459911185,1488.6088065197875,-280.2292086634448,10.725371713823902,1.8355225727740907,-0.34553539909179387,9906.656057767537,0,158
fleet_12,ours_full,0,3,12,3,0.8,812,812,0,0.0,998.0,8497.676160262094,1426.2214639343738,-245.92436145239444,10.465118423968095,1.756430374303416,-0.30286251410393406,9677.973262744023,0,159
fleet_12,ours_full,0,4,12,3,0.8,828,828,0,0.0,1002.0,8866.546727624429,1511.5016046529247,-242.23089211580873,10.708389767662354,1.8254850297740637,-0.29254938661329555,10135.81744016161,0,166
fleet_12,ours_full,0,5,12,3,0.8,761,761,0,0.0,1002.0,8135.568219307377,1273.7728716321171,-287.1214079048895,10.69062840907671,1.6738145487938465,-0.3772948855517602,9122.21968303446,0,152
fleet_12,ours_full,0,6,12,3,0.8,854,854,0,0.0,1002.0,8949.308903298948,1463.3250201545038,-404.38794520558815,10.479284430092445,1.7134953397593722,-0.47352218408148494,10008.24597824788,0,163
fleet_12,ours_full,1,7,12,3,0.8,744,744,0,0.0,1001.0,7678.366079022704,1103.730557134692,-328.08092810962006,10.320384514815462,1.4835088133530805,-0.4409689893946506,8454.015708047502,0,139
fleet_12,ours_full,1,8,12,3,0.8,777,777,0,0.0,1001.0,7806.33804109009,1235.531534297179,-249.68672741785343,10.046767105650051,1.5901306747711441,-0.3213471395339169,8792.18284796921,0,141
fleet_12,ours_full,1,9,12,3,0.8,795,795,0,0.0,1001.0,7998.394828415279,1307.5327767979277,-317.3549942727974,10.06087399800664,1.6446953167269531,-0.3991886720412546,8988.572610940228,0,148
fleet_12,ours_full,1,10,12,3,0.8,832,832,0,0.0,1001.0,8697.625556244755,1333.3423774719429,-367.6540738672175,10.453876870486484,1.6025749729230083,-0.4418919157057903,9663.31385984945,0,159
fleet_12,ours_full,1,11,12,3,0.8,791,791,0,0.0,1002.0,8060.0161011177825,1357.0651046665005,-238.1495388165368,10.18965373086951,1.7156322435733256,-0.3010740060891742,9178.93166696762,0,151
fleet_12,ours_full,1,12,12,3,0.8,764,764,0,0.0,999.0,8017.671485071377,1318.770199762049,-230.9113716364091,10.494334404543688,1.726139004924148,-0.30224001523090194,9105.53031319686,0,147
fleet_12,ours_full,2,13,12,3,0.8,804,804,0,0.0,1001.0,7947.4980865697025,1218.0184836623382,-246.27619926070437,9.884947868867789,1.5149483627641023,-0.30631368067251785,8919.240370971158,0,152
fleet_12,ours_full,2,14,12,3,0.8,816,816,0,0.0,1000.0,8075.30912291584,1315.2242068337246,-367.30466849061173,9.896212160436079,1.6117943711197604,-0.450128270209083,9023.22866125879,0,152
fleet_12,ours_full,2,15,12,3,0.8,787,787,0,0.0,1002.0,7704.306679040755,1162.144874395859,-239.51642030840148,9.789462108056867,1.4766770958015998,-0.30434106773621533,8626.935133127956,0,146
fleet_12,ours_full,2,16,12,3,0.8,789,789,0,0.0,1001.0,7611.091913373446,1133.7737158792518,-196.84804055803738,9.646504326202086,1.4369755587823216,-0.24949054570093457,8548.017588694409,0,144
fleet_12,ours_full,2,17,12,3,0.8,833,833,0,0.0,1002.0,8184.699996050928,1293.614448035809,-275.5239058215222,9.825570223350454,1.5529585210513912,-0.3307609913823796,9202.790538265064,0,154
fleet_12,ours_full,2,18,12,3,0.8,813,813,0,0.0,1001.0,8194.420229979301,1321.0839600484026,-258.5828788838699,10.079237675251294,1.6249495203547386,-0.31806012162837627,9256.921311143717,0,157
fleet_12,ours_full,3,19,12,3,0.8,758,758,0,0.0,1001.0,7844.342515236117,1238.5390981456778,-195.65377038620534,10.348736827488281,1.6339565938597334,-0.2581184305886614,8887.227842995382,0,146
fleet_12,ours_full,3,20,12,3,0.8,797,797,0,0.0,1002.0,8096.852769239265,1306.2836316054807,-253.55182627871605,10.159162822132076,1.6390007924786458,-0.3181327807763062,9149.58457456586,0,155
fleet_12,ours_full,3,21,12,3,0.8,809,809,0,0.0,1002.0,8058.502701060667,1343.8791455039138,-392.6195297735592,9.961066379555831,1.6611608720691147,-0.4853146227114452,9009.762316790851,0,152
fleet_12,ours_full,3,22,12,3,0.8,778,778,0,0.0,1002.0,7622.233448666878,1147.906890848759,-232.40299207483227,9.797215229648943,1.4754587285973768,-0.2987184988108384,8537.737347440534,0,145
fleet_12,ours_full,3,23,12,3,0.8,788,788,0,0.0,1001.0,7823.139145621526,1223.6229357324428,-206.07785600887505,9.927841555357267,1.552820984432034,-0.2615201218386739,8840.684225344881,0,146
fleet_12,ours_full,3,24,12,3,0.8,769,769,0,0.0,1001.0,7844.790644650322,1284.0291152539544,-253.94702844887192,10.201288224512773,1.6697387714615792,-0.3302302060453471,8874.872731455202,0,147
fleet_12,ours_full,4,25,12,3,0.8,776,776,0,0.0,1003.0,7936.712979550776,1259.2319836231002,-247.5410943084536,10.227722911792238,1.6227216283802837,-0.31899625555213096,8948.403868865242,0,149
fleet_12,ours_full,4,26,12,3,0.8,780,780,0,0.0,1001.0,7984.693707240027,1181.234503381732,-250.1957728765511,10.23678680415388,1.5144032094637592,-0.3207638113801937,8915.732437745011,0,148
fleet_12,ours_full,4,27,12,3,0.8,777,777,0,0.0,1002.0,7889.337472293547,1233.8473580619234,-241.95615867038927,10.153587480429275,1.5879631377888332,-0.3113978876066786,8881.228671684881,0,148
fleet_12,ours_full,4,28,12,3,0.8,755,755,0,0.0,1000.0,7885.289942961637,1183.0400631192329,-213.9284850607593,10.444092639684287,1.5669404809526264,-0.2833489868354428,8854.40152101992,0,143
