v1_status,v1_objective,v1_heur_objective,v1_gap,v2_status,v2_optimal,v2_objective,heur_status,heur_objective,v2_gap,capacity_checked,n_drones,n_stations,seed
Optimal,1.0,1,0.0,Optimal,True,30.731208523721595,Heuristic,32.213461307071235,0.04823281786023745,True,2,1,1
Optimal,1.0,1,0.0,Optimal,True,19.999999862151128,Heuristic,32.53245442967428,0.6266227326951195,True,2,1,2
Optimal,1.0,1,0.0,Optimal,True,19.999999997457152,Heuristic,23.519706274263125,0.17598531386267385,True,2,1,3
Optimal,1.0,1,0.0,Optimal,True,20.89845117102833,Heuristic,33.0967590964419,0.5836943525424587,True,3,1,1
Optimal,2.0,2,0.0,Optimal,True,21.165246635165776,Heuristic,35.684515000714164,0.6859957087116961,True,3,1,2
Optimal,1.0,1,0.0,Optimal,True,19.999999980670932,Heuristic,33.52285931180993,0.6761429672104107,True,3,1,3
Optimal,2.0,2,0.0,Optimal,True,20.827838752534404,Heuristic,24.738204854894676,0.18774708930778736,True,4,2,1
Optimal,2.0,2,0.0,Optimal,True,20.677549872246995,Heuristic,35.5897567521369,0.7211786199052905,True,4,2,2
Optimal,2.0,2,0.0,Optimal,True,21.052630215167646,Heuristic,25.018283500959573,0.1883685432775435,True,4,2,3
Optimal,2.0,2,0.0,Optimal,True,21.08785184556372,Heuristic,47.80245739304673,1.266824413559364,True,4,1,1
Optimal,2.0,2,0.0,Optimal,True,21.580979514440045,Heuristic,25.877205001983377,0.19907462887255348,True,4,1,2
Optimal,2.0,2,0.0,Optimal,True,20.600454859561886,Heuristic,39.734115265567766,0.92879795793076,True,4,1,3
Optimal,3.0,3,0.0,Optimal,True,20.562827156682413,Heuristic,37.68874095430542,0.8328579366605973,True,5,2,1
Optimal,2.0,2,0.0,Optimal,True,20.852237615387544,Heuristic,37.896748607319935,0.8173948190267453,True,5,2,2
Optimal,2.0,2,0.0,Optimal,True,20.669341223760487,Heuristic,52.018239735729104,1.5166859055929378,True,5,2,3
Optimal,3.0,3,0.0,Optimal,True,20.94370828654278,Heuristic,35.1323033912534,0.6774633656365141,True,6,2,1
Optimal,3.0,3,0.0,Optimal,True,22.047962125463766,Heuristic,40.39352692701923,0.8320753046091137,True,6,2,2
Optimal,2.0,2,0.0,Optimal,True,30.34087650261384,Heuristic,48.32498899832018,0.5927354305060049,True,6,2,3
Optimal,2.0,2,0.0,Optimal,True,30.001520099110188,Heuristic,36.45125630600749,0.21498031385045024,True,6,3,1
Optimal,3.0,3,0.0,Optimal,True,31.414887719153988,Heuristic,40.49475012996532,0.2890305543022916,True,6,3,2
Optimal,4.0,4,0.0,Optimal,True,21.82388278474162,Heuristic,51.89298128015423,1.3778070012562436,True,6,3,3
Optimal,5.0,5,0.0,Optimal,True,21.002383117070494,Heuristic,47.977629953138084,1.2843898087994796,True,8,3,1
Optimal,4.0,4,0.0,Optimal,True,23.04031600703831,Heuristic,44.14725746298676,0.9160873249091176,True,8,3,2
Optimal,3.0,3,0.0,Optimal,True,21.939190587795892,Heuristic,54.62480671281817,1.4898278035473331,True,8,3,3
