n_drones,n_stations,seed,total_pads,drones_per_pad,milp_Z,heur_Z,milp_cmax,heur_cmax,milp_energy,heur_energy,milp_tardy,heur_tardy
2,1,1,1,2.0,30.731208523721595,32.213461307071235,30.0,30.0,0.7312085237215942,2.2134613070712357,0.0,0.0
2,1,2,2,1.0,19.999999862151128,32.53245442967428,20.0,30.0,-1.3784887409329372e-07,2.5324544296742815,0.0,0.0
2,1,3,2,1.0,19.999999997457152,23.519706274263125,20.0,20.0,-2.5428494865309403e-09,3.519706274263124,0.0,0.0
3,1,1,1,3.0,20.89845117102833,33.0967590964419,20.0,30.0,0.8984511710283325,3.0967590964419,0.0,0.0
3,1,2,2,1.5,21.165246635165776,35.684515000714164,20.0,30.0,1.1652466351657749,5.684515000714164,0.0,0.0
3,1,3,2,1.5,19.999999980670932,33.52285931180993,20.0,30.0,-1.9329072564744365e-08,3.522859311809929,0.0,0.0
4,2,1,3,1.3333333333333333,20.827838752534404,24.738204854894676,20.0,20.0,0.8278387525344038,4.738204854894677,0.0,0.0
4,2,2,3,1.3333333333333333,20.677549872246995,35.5897567521369,20.0,30.0,0.6775498722469919,5.5897567521369,0.0,0.0
4,2,3,3,1.3333333333333333,21.052630215167646,25.018283500959573,20.0,20.0,1.0526302151676434,5.018283500959573,0.0,0.0
4,1,1,1,4.0,21.08785184556372,47.80245739304673,20.0,40.0,1.087851845563717,7.80245739304673,0.0,0.0
4,1,2,2,2.0,21.580979514440045,25.877205001983377,20.0,20.0,1.5809795144400423,5.877205001983376,0.0,0.0
4,1,3,2,2.0,20.600454859561886,39.734115265567766,20.0,30.0,0.6004548595618888,9.734115265567764,0.0,0.0
5,2,1,3,1.6666666666666667,20.562827156682413,37.68874095430542,20.0,30.0,0.5628271566824097,7.688740954305422,0.0,0.0
5,2,2,3,1.6666666666666667,20.852237615387544,37.896748607319935,20.0,30.0,0.8522376153875353,7.896748607319936,0.0,0.0
5,2,3,3,1.6666666666666667,20.669341223760487,52.018239735729104,20.0,40.0,0.6693412237604899,12.018239735729104,0.0,0.0
6,2,1,3,2.0,20.94370828654278,35.1323033912534,20.0,30.0,0.9437082865427753,5.132303391253402,0.0,0.0
6,2,2,3,2.0,22.047962125463766,40.39352692701923,20.0,30.0,2.0479621254637683,10.393526927019233,0.0,0.0
6,2,3,3,2.0,30.34087650261384,48.32498899832018,30.0,40.0,0.3408765026138423,8.324988998320183,0.0,0.0
6,3,1,5,1.2,30.001520099110188,36.45125630600749,30.0,30.0,0.0015200991101895767,6.451256306007484,0.0,0.0
6,3,2,4,1.5,31.414887719153988,40.49475012996532,30.0,30.0,1.4148877191539964,10.49475012996532,0.0,0.0
6,3,3,4,1.5,21.82388278474162,51.89298128015423,20.0,40.0,1.8238827847416283,11.892981280154233,0.0,0.0
8,3,1,5,1.6,21.002383117070494,47.977629953138084,20.0,30.0,1.0023831170704922,17.977629953138084,0.0,0.0
8,3,2,4,2.0,23.04031600703831,44.14725746298676,20.0,30.0,3.0403160070383173,14.14725746298676,0.0,0.0
8,3,3,4,2.0,21.939190587795892,54.62480671281817,20.0,40.0,1.9391905877959004,14.624806712818174,0.0,0.0
