v1_status,v1_gap,v2_status,v2_optimal,v2_gap,milp_cmax,heur_cmax,milp_energy,heur_energy,milp_tardy,heur_tardy,heur_status,n_drones,n_stations,seed
Optimal,0.0,Optimal,True,0.041483421484767045,30.0,30.0,0.7312085237215942,2.2134613070712357,5.0,5.0,Heuristic,2,1,1
Optimal,0.0,Optimal,True,0.8766227344182305,20.0,30.0,-1.3784887409329372e-07,2.5324544296742815,0.0,5.0,Heuristic,2,1,2
Optimal,0.0,Optimal,True,0.17598531386267385,20.0,20.0,-2.5428494865309403e-09,3.519706274263124,0.0,0.0,Heuristic,2,1,3
Optimal,0.0,Optimal,True,0.8229465324806321,20.0,30.0,0.8984511710283325,3.0967590964419,0.0,5.0,Heuristic,3,1,1
Optimal,0.0,Optimal,True,0.9222320297991418,20.0,30.0,1.1652466351657749,5.684515000714164,0.0,5.0,Heuristic,3,1,2
Optimal,0.0,Optimal,True,0.9261429674520243,20.0,30.0,-1.9329073452922785e-08,3.522859311809929,0.0,5.0,Heuristic,3,1,3
Optimal,0.0,Optimal,True,0.187747097006419,20.0,20.0,0.8278386175344041,4.738204854894677,0.0,0.0,Heuristic,4,2,1
Optimal,0.0,Optimal,True,0.9629867531652033,20.0,30.0,0.6775500072469924,5.5897567521369,0.0,5.0,Heuristic,4,2,2
Optimal,0.0,Optimal,True,0.1883685432775435,20.0,20.0,1.0526302151676434,5.018283500959573,0.0,0.0,Heuristic,4,2,3
Optimal,0.0,Optimal,True,1.9781343994130172,20.0,40.0,1.0878519805637161,7.80245739304673,0.0,15.0,Heuristic,4,1,1
Optimal,0.0,Optimal,True,0.19907462887255348,20.0,20.0,1.5809795144400423,5.877205001983376,0.0,0.0,Heuristic,4,1,2
Optimal,0.0,Optimal,True,1.1715110452915085,20.0,30.0,0.6004548595618888,9.734115265567764,0.0,5.0,Heuristic,4,1,3
Optimal,0.0,Optimal,True,1.3191723876747052,20.0,30.0,0.5628271566824097,7.688740954305422,0.0,10.0,Heuristic,5,2,1
Optimal,0.0,Optimal,True,1.2969596443638172,20.0,30.0,0.8522377503875358,7.896748607319936,0.0,10.0,Heuristic,5,2,2
Optimal,0.0,Optimal,True,2.2423984398055294,20.0,40.0,0.6693412237604899,12.018239735729104,0.0,15.0,Heuristic,5,2,3
Optimal,0.0,Optimal,True,0.9161985471808796,20.0,30.0,0.9437082865427744,5.132303391253402,0.0,5.0,Heuristic,6,2,1
Optimal,0.0,Optimal,True,1.058853633215972,20.0,30.0,2.0479621254637674,10.393526927019233,0.0,5.0,Heuristic,6,2,2
Optimal,0.0,Optimal,True,1.2870252619223272,30.0,40.0,1.4337860126138422,8.324988998320183,5.0,35.0,Heuristic,6,2,3
Optimal,0.0,Optimal,True,0.4388104605166048,30.0,30.0,0.7595789841101905,6.451256306007484,5.0,15.0,Heuristic,6,3,1
Optimal,0.0,Optimal,True,0.47032467606260325,30.0,30.0,2.743194434153997,10.49475012996532,5.0,15.0,Heuristic,6,3,2
Optimal,0.0,Optimal,True,2.523341013081078,20.0,40.0,1.8238827847416283,11.892981280154233,0.0,25.0,Heuristic,6,3,3
Optimal,0.0,Optimal,True,1.760526252185855,20.0,30.0,1.002383117070493,17.977629953138084,0.0,10.0,Heuristic,8,3,1
Optimal,0.0,Optimal,True,1.350109149824419,20.0,30.0,3.0403160070383173,14.14725746298676,0.0,10.0,Heuristic,8,3,2
Optimal,0.0,Optimal,True,3.085146457621537,20.0,40.0,1.9391905877958988,14.624806712818174,0.0,35.0,Heuristic,8,3,3
