config,w1,w2,layout_id,seed,miss_rate,unfinished_at_cap,f12_cmax_term,f12_energy_term,f12_tardy_term,safety_violations
density_scarce,1.0,1.0,0,1,0.0,0,1.001,1.5629020353276748,0.0,0
density_scarce,1.0,1.0,0,2,0.0,0,1.0,1.5948100128866551,0.0,0
density_scarce,1.0,1.0,0,3,0.0,0,0.999,1.5524732036231377,0.0,0
density_scarce,1.0,1.0,1,4,0.4489051094890511,28,1.135,1.435858801008873,0.9574670434573336,0
density_scarce,1.0,1.0,1,5,0.4105263157894737,0,1.123,1.4356911704246798,0.4003740777887728,0
density_scarce,1.0,1.0,1,6,0.49825783972125437,50,1.135,1.4205309029179238,1.2067042660824165,0
density_scarce,1.0,1.0,2,7,0.0,0,1.002,1.5747119822480105,0.0,0
density_scarce,1.0,1.0,2,8,0.0,0,0.999,1.552850710740181,0.0,0
density_scarce,1.0,1.0,2,9,0.0,0,1.002,1.5508473824158688,0.0,0
density_scarce,1.0,1.0,3,10,0.21852731591448932,0,1.079,1.5035242009753693,0.06547116389950303,0
density_scarce,1.0,1.0,3,11,0.0,0,1.008,1.5083150622160706,0.0,0
density_scarce,1.0,1.0,3,12,0.0,0,1.0,1.5156146364013543,0.0,0
density_scarce,1.0,1.0,4,13,0.4912718204488778,55,1.135,1.5290985221102529,1.514145161848465,0
density_scarce,1.0,1.0,4,14,0.6151990349819059,38,1.135,1.4846338946916784,1.353949916938249,0
density_scarce,1.0,1.0,4,15,0.549492385786802,51,1.135,1.5257799028513337,1.278871820042825,0
density_scarce,2.0,1.0,0,1,0.0,0,1.001,1.553213006345674,0.0,0
density_scarce,2.0,1.0,0,2,0.0,0,1.0,1.5740453034632556,0.0,0
density_scarce,2.0,1.0,0,3,0.0,0,0.998,1.5499951862762364,0.0,0
density_scarce,2.0,1.0,1,4,0.4440389294403893,27,1.135,1.4408040679128928,0.9364627632385208,0
density_scarce,2.0,1.0,1,5,0.3815789473684211,0,1.122,1.4521225850310788,0.38192815293098914,0
density_scarce,2.0,1.0,1,6,0.5528455284552846,71,1.135,1.438613851322485,1.5141183997586074,0
density_scarce,2.0,1.0,2,7,0.0,0,1.002,1.5997513841801363,0.0,0
density_scarce,2.0,1.0,2,8,0.0,0,0.999,1.5372368252729585,0.0,0
density_scarce,2.0,1.0,2,9,0.0,0,1.003,1.557476842303801,0.0,0
density_scarce,2.0,1.0,3,10,0.12232779097387174,0,1.06,1.4959041092552505,0.028564893032554002,0
density_scarce,2.0,1.0,3,11,0.0,0,1.007,1.5109048428515166,0.0,0
density_scarce,2.0,1.0,3,12,0.0,0,1.0,1.5320497640004198,0.0,0
density_scarce,2.0,1.0,4,13,0.47506234413965087,70,1.135,1.5313113673223129,1.5617914697862103,0
density_scarce,2.0,1.0,4,14,0.5898673100120627,60,1.135,1.4712302128641936,1.603252692605494,0
density_scarce,2.0,1.0,4,15,0.5977157360406091,45,1.135,1.521465200012046,1.291489121481723,0
density_scarce,1.0,2.0,0,1,0.0,0,1.001,1.5782092570211537,0.0,0
density_scarce,1.0,2.0,0,2,0.0,0,1.001,1.5978357909779533,0.0,0
density_scarce,1.0,2.0,0,3,0.0,0,0.999,1.5524732036231377,0.0,0
density_scarce,1.0,2.0,1,4,0.4440389294403893,32,1.135,1.4361426493236276,0.9662261675449247,0
density_scarce,1.0,2.0,1,5,0.39342105263157895,0,1.118,1.4435083600624816,0.37215585512766036,0
density_scarce,1.0,2.0,1,6,0.49825783972125437,65,1.135,1.4518063122563072,1.2570499844301457,0
density_scarce,1.0,2.0,2,7,0.0,0,1.002,1.579603173223373,0.0,0
density_scarce,1.0,2.0,2,8,0.0,0,0.999,1.5468130021297677,0.0,0
density_scarce,1.0,2.0,2,9,0.0,0,1.002,1.560201043650074,0.0,0
density_scarce,1.0,2.0,3,10,0.17933491686460806,0,1.055,1.4968637283885813,0.051661877299004136,0
density_scarce,1.0,2.0,3,11,0.0,0,1.002,1.530911940688821,0.0,0
density_scarce,1.0,2.0,3,12,0.0,0,1.0,1.5266625020450395,0.0,0
density_scarce,1.0,2.0,4,13,0.46508728179551123,75,1.135,1.5333346376896384,1.4888065853360253,0
density_scarce,1.0,2.0,4,14,0.6007237635705669,43,1.135,1.4833589513424417,1.3566257483314856,0
density_scarce,1.0,2.0,4,15,0.567258883248731,46,1.135,1.5230369689152667,1.2600492125380798,0
density_scarce,0.5,0.5,0,1,0.0,0,1.001,1.5629020353276748,0.0,0
density_scarce,0.5,0.5,0,2,0.0,0,1.0,1.5948100128866551,0.0,0
density_scarce,0.5,0.5,0,3,0.0,0,0.999,1.5524732036231377,0.0,0
density_scarce,0.5,0.5,1,4,0.4489051094890511,28,1.135,1.435858801008873,0.9574670434573336,0
density_scarce,0.5,0.5,1,5,0.4105263157894737,0,1.123,1.4356911704246798,0.4003740777887728,0
density_scarce,0.5,0.5,1,6,0.49825783972125437,50,1.135,1.4205309029179238,1.2067042660824165,0
density_scarce,0.5,0.5,2,7,0.0,0,1.002,1.5747119822480105,0.0,0
density_scarce,0.5,0.5,2,8,0.0,0,0.999,1.552850710740181,0.0,0
density_scarce,0.5,0.5,2,9,0.0,0,1.002,1.5508473824158688,0.0,0
density_scarce,0.5,0.5,3,10,0.21852731591448932,0,1.079,1.5035242009753693,0.06547116389950303,0
density_scarce,0.5,0.5,3,11,0.0,0,1.008,1.5083150622160706,0.0,0
density_scarce,0.5,0.5,3,12,0.0,0,1.0,1.5156146364013543,0.0,0
density_scarce,0.5,0.5,4,13,0.4912718204488778,55,1.135,1.5290985221102529,1.514145161848465,0
density_scarce,0.5,0.5,4,14,0.6151990349819059,38,1.135,1.4846338946916784,1.353949916938249,0
density_scarce,0.5,0.5,4,15,0.549492385786802,51,1.135,1.5257799028513337,1.278871820042825,0
load_saturated,1.0,1.0,0,1,0.0,0,1.002,1.494620945896008,0.0,0
load_saturated,1.0,1.0,0,2,0.0,0,1.001,1.5068770181034334,0.0,0
load_saturated,1.0,1.0,0,3,0.0,0,1.002,1.5111516140354753,0.0,0
load_saturated,1.0,1.0,1,4,0.425914445133292,0,1.074,1.5766805621620879,0.14544108413707754,0
load_saturated,1.0,1.0,1,5,0.300556586270872,0,1.079,1.5581659867260798,0.14780930293269245,0
load_saturated,1.0,1.0,1,6,0.5225806451612903,0,1.111,1.5603058791861342,0.3882329059225669,0
load_saturated,1.0,1.0,2,7,0.0,0,1.002,1.5020670284951505,0.0,0
load_saturated,1.0,1.0,2,8,0.0,0,1.002,1.5124464414147187,0.0,0
load_saturated,1.0,1.0,2,9,0.0,0,1.002,1.4821933794334206,0.0,0
load_saturated,1.0,1.0,3,10,0.0,0,1.002,1.4928595782125564,0.0,0
load_saturated,1.0,1.0,3,11,0.0,0,1.002,1.4885238133767285,0.0,0
load_saturated,1.0,1.0,3,12,0.0,0,1.001,1.4894297788372262,0.0,0
load_saturated,1.0,1.0,4,13,0.011742892459826947,0,1.043,1.5694575999697689,0.0019747789851772795,0
load_saturated,1.0,1.0,4,14,0.0,0,1.002,1.5551078426610345,0.0,0
load_saturated,1.0,1.0,4,15,0.0,0,1.005,1.540846307500551,0.0,0
load_saturated,2.0,1.0,0,1,0.0,0,1.002,1.4885827725809786,0.0,0
load_saturated,2.0,1.0,0,2,0.0,0,1.002,1.5101396559585731,0.0,0
load_saturated,2.0,1.0,0,3,0.0,0,1.002,1.5041389635329319,0.0,0
load_saturated,2.0,1.0,1,4,0.43521388716677,0,1.077,1.5827870749582575,0.16540625165902664,0
load_saturated,2.0,1.0,1,5,0.19913419913419914,0,1.075,1.5734279096407782,0.07672577309590377,0
load_saturated,2.0,1.0,1,6,0.5225806451612903,0,1.115,1.5691979223246897,0.4271764384496032,0
load_saturated,2.0,1.0,2,7,0.0,0,1.002,1.5024648435744006,0.0,0
load_saturated,2.0,1.0,2,8,0.0,0,1.002,1.497201417626712,0.0,0
load_saturated,2.0,1.0,2,9,0.0,0,1.002,1.487405600628245,0.0,0
load_saturated,2.0,1.0,3,10,0.0,0,1.002,1.4981566269291862,0.0,0
load_saturated,2.0,1.0,3,11,0.0,0,1.001,1.500655271370726,0.0,0
load_saturated,2.0,1.0,3,12,0.0,0,1.002,1.5060117418885055,0.0,0
load_saturated,2.0,1.0,4,13,0.004326328800988875,0,1.04,1.5693126973546834,0.0010069117210882853,0
